project_id,project_name,country,status,approval_date,closing_date,lending_instrument,approved_amount,currency,url,raw_project_name
P163939,Maldives Development Policy Financing with a Catastrophe Deferred Drawdown Option and Pandemic Emergency Financing Facility,Maldives,Closed,2019-07-01T00:00:00Z,9/30/2022 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P163939,"""Maldives Development Policy Financing with a Catastrophe Deferred Drawdown Option and Pandemic Emergency Financing Facility"""
P504373,RMI Enhancing Fiscal Management and Building Disaster and Climate Resilience DPO with a Cat DDO,Marshall Islands,Active,2024-07-19T00:00:00Z,9/30/2027 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P504373,"""RMI Enhancing Fiscal Management and Building Disaster and Climate Resilience DPO with a Cat DDO"""
P179263,Mauritania Fiscal Management and Resilience Development Policy Financing with a Catastrophe Deferred Drawdown Option,Mauritania,Active,2024-02-29T00:00:00Z,6/30/2027 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P179263,"""Mauritania Fiscal Management and Resilience Development Policy Financing with a Catastrophe Deferred Drawdown Option"""
P168580,Morocco Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option,Morocco,Closed,2019-12-11T00:00:00Z,6/15/2023 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P168580,"""Morocco Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option"""
P166788,Nepal Development Policy Financing with CAT DDO,Nepal,Closed,2020-03-10T00:00:00Z,11/30/2024 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P166788,"""Nepal Development Policy Financing with CAT DDO"""
P181344,Nepal Disaster Resilience Development Policy Credit with Cat DDO (NDRC),Nepal,Active,2024-10-08T00:00:00Z,11/30/2027 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P181344,"""Nepal Disaster Resilience Development Policy Credit with Cat DDO (NDRC)"""
P165160,Pakistan DRM DPC with CAT DDO,Pakistan,Dropped,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P165160,"""Pakistan DRM DPC with CAT DDO"""
P122738,Disaster Risk Management Development Policy Loan with a CAT DDO,Panama,Closed,2011-10-18T00:00:00Z,6/30/2021 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P122738,"""Disaster Risk Management Development Policy Loan with a CAT DDO"""
P174191,Second Panama Disaster Risk Management Development Policy Loan with a CAT DDO,Panama,Active,2022-03-14T00:00:00Z,3/14/2025 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P174191,"""Second Panama Disaster Risk Management Development Policy Loan with a CAT DDO"""
P149831,PERU SECOND DPL WITH A CAT DDO,Peru,Closed,2015-03-12T00:00:00Z,3/12/2018 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P149831,"""PERU SECOND DPL WITH A CAT DDO"""
P169058,Peru - DPL with a Cat DDO III,Peru,Dropped,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P169058,"""Peru - DPL with a Cat DDO III"""
P125943,Disaster Risk Management Development Loan with a CAT DDO,Philippines,Closed,2011-09-13T00:00:00Z,10/31/2014 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P125943,"""Disaster Risk Management Development Loan with a CAT DDO"""
P155656,Second Disaster Risk Management Development Policy Loan with a CAT-DDO,Philippines,Closed,2015-12-22T00:00:00Z,3/30/2020 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P155656,"""Second Disaster Risk Management Development Policy Loan with a CAT-DDO"""
P166303,Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option,Romania,Closed,2018-06-26T00:00:00Z,12/31/2021 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P166303,"""Disaster Risk Management Development Policy Loan with a Catastrophe Deferred Drawdown Option"""
P502111,Romania Second Disaster Risk Management Development Policy Loan with a Cat DDO,Romania,Active,2024-09-19T00:00:00Z,12/31/2027 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P502111,"""Romania Second Disaster Risk Management Development Policy Loan with a Cat DDO"""
P181603,Rwanda Disaster Risk Management Development Policy Financing with a Catastrophe Deferred Drawdown Option,Rwanda,Pipeline,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P181603,"""Rwanda Disaster Risk Management Development Policy Financing with a Catastrophe Deferred Drawdown Option"""
P171764,"Samoa First Response, Recovery and Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option",Samoa,Closed,2020-12-03T00:00:00Z,11/30/2023 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P171764,"""Samoa First Response, Recovery and Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option"""
P506151,Samoa Second Recovery and Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option,Samoa,Pipeline,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P506151,"""Samoa Second Recovery and Resilience Development Policy Operation with a Catastrophe Deferred Drawdown Option"""
P503960,Sierra Leone First Macro Stability and Resilience DPO with a Catastrophe Deferred Drawdown Option,Sierra Leone,Active,2024-12-13T00:00:00Z,12/31/2027 12:00:00 AM,Development Policy Lending,0.0,,https://projects.worldbank.org/en/projects-operations/project-detail/P503960,"""Sierra Leone First Macro Stability and Resilience DPO with a Catastrophe Deferred Drawdown Option"""
P178676,The First Solomon Islands Resilience DPO with a Catastrophe Deferred Drawdown Option,Solomon Islands,Active,2023-11-30T00:00:00Z,12/31/2026 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P178676,"""The First Solomon Islands Resilience DPO with a Catastrophe Deferred Drawdown Option"""
P147454,CATASTROPHE DEFERRED DRAWDOWN OPTION (DPL with DDO),Sri Lanka,Closed,2014-04-22T00:00:00Z,5/31/2017 12:00:00 AM,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P147454,"""CATASTROPHE DEFERRED DRAWDOWN OPTION (DPL with DDO)"""
P181432,Saint Lucia Disaster Risk Management Cat DDO,St. Lucia,Pipeline,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P181432,"""Saint Lucia Disaster Risk Management Cat DDO"""
P154829,Saint Lucia Disaster Risk Management Development Policy Credit with a Catastrophe Deferred Drawdown Option,St. Lucia,Dropped,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P154829,"""Saint Lucia Disaster Risk Management Development Policy Credit with a Catastrophe Deferred Drawdown Option"""
P503389,SVG Cat DDO,St. Vincent and the Grenadines,Pipeline,,,Development Policy Lending,,,https://projects.worldbank.org/en/projects-operations/project-detail/P503389,"""SVG Cat DDO"""
