iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed,population_weight_year
CYM,Cayman Islands,2007,1,2007-01,2007-01-01,11.5655379132907,0.37308186817066774,5.509591357206396,5.595806947724034,9.084425866762679,2.4650650520778106,4.90329962575607,0,0,31,2015
CYM,Cayman Islands,2007,2,2007-02,2007-02-01,11.404747216613899,0.40731240059335355,6.245815999887002,6.608913034399195,6.608913034399195,2.9852334011415067,5.746676985374137,0,0,28,2015
CYM,Cayman Islands,2007,3,2007-03,2007-03-01,29.3526537587353,0.9468597986688807,9.061333532243589,10.668389062470109,15.046862805007054,4.923228094476951,7.9572228208545575,0,0,31,2015
CYM,Cayman Islands,2007,4,2007-04,2007-04-01,36.55827352159417,1.2186091173864722,7.914011919333821,10.908706936591638,11.966817862943385,6.871665820565691,7.8617639995521555,0,0,30,2015
CYM,Cayman Islands,2007,5,2007-05,2007-05-01,244.45655471260287,7.88569531330977,149.13120644037008,171.28613060290002,171.28613060290002,42.945495644167586,123.51266464600056,3,2,31,2015
CYM,Cayman Islands,2007,6,2007-06,2007-06-01,152.27744633958739,5.075914877986246,26.62326447674852,177.25592741035808,199.41085157288802,23.19266882800163,25.74699386200522,4,0,30,2015
CYM,Cayman Islands,2007,7,2007-07,2007-07-01,68.28630775874853,2.2027841212499526,24.28842858600894,34.39103706669724,54.310496083858325,11.712841449048597,20.99882233542892,1,0,31,2015
CYM,Cayman Islands,2007,8,2007-08,2007-08-01,96.78993067699832,3.1222558282902684,23.178480796752385,49.346837153754734,49.6428513597602,16.77296236744099,21.616257030426933,1,0,31,2015
CYM,Cayman Islands,2007,9,2007-09,2007-09-01,148.5388585299673,4.951295284332244,23.034915640231624,44.85775211305606,61.33121129350968,18.669848712371742,22.30923872830696,2,0,30,2015
CYM,Cayman Islands,2007,10,2007-10,2007-10-01,380.14681994021123,12.26280064323262,72.69846356508236,121.76056161342208,155.57169970161075,48.218351449027395,65.76088254356324,6,1,31,2015
CYM,Cayman Islands,2007,11,2007-11,2007-11-01,41.70076929353125,1.3900256431177085,17.81264739414722,28.47859954046376,36.16887620356176,7.768825418825515,15.740105772276326,0,0,30,2015
CYM,Cayman Islands,2007,12,2007-12,2007-12-01,25.66136821265592,0.8277860713759974,7.235926872604179,13.79072376946359,20.402679961036924,6.583376544216373,7.048735668294929,0,0,31,2015
CYM,Cayman Islands,2008,1,2008-01,2008-01-01,13.126318012641828,0.42342961331102674,6.461175586577375,6.461175586577375,6.761952915387303,3.1492255774979707,6.264477200853136,0,0,31,2015
CYM,Cayman Islands,2008,2,2008-02,2008-02-01,13.070817274730812,0.45071783705968316,9.043533298286386,9.043533298286386,9.285007841937826,2.1812328373214034,7.48172659345211,0,0,29,2015
CYM,Cayman Islands,2008,3,2008-03,2008-03-01,29.10835188006816,0.9389790929054245,10.6441693722085,15.00729686091358,16.814670236580046,4.530796897952756,8.982992119697098,0,0,31,2015
CYM,Cayman Islands,2008,4,2008-04,2008-04-01,14.901367626943534,0.49671225423145116,4.825428557563512,6.511170403346953,7.467329952157753,2.675237050076334,4.50395018036725,0,0,30,2015
CYM,Cayman Islands,2008,5,2008-05,2008-05-01,94.26535130932386,3.0408177841717374,42.98502317950738,94.26535130932386,94.26535130932386,25.64016406490824,39.316043280150424,3,0,31,2015
CYM,Cayman Islands,2008,6,2008-06,2008-06-01,124.69533237910464,4.156511079303488,43.47536537155451,89.34809995860635,152.85836108627933,22.80830055578574,37.81008138838972,3,0,30,2015
CYM,Cayman Islands,2008,7,2008-07,2008-07-01,224.8398865974592,7.252899567659974,110.44168641430953,128.8676117658554,147.08250301027408,24.714253898239548,86.67326545563473,2,1,31,2015
CYM,Cayman Islands,2008,8,2008-08,2008-08-01,110.23916677281792,3.5561021539618687,52.9712866128659,59.997103963702706,59.997103963702706,22.000880102859174,44.217871934779005,3,1,31,2015
CYM,Cayman Islands,2008,9,2008-09,2008-09-01,104.18853328847797,3.4729511096159325,46.57696270924877,86.51097455762972,90.1703786684291,23.494267733592245,43.509869358949736,2,0,30,2015
CYM,Cayman Islands,2008,10,2008-10,2008-10-01,381.1540250525258,12.295291130726639,64.36991084102345,103.15926249237609,170.1825484481014,44.6419903610012,59.135901593962444,8,1,31,2015
CYM,Cayman Islands,2008,11,2008-11,2008-11-01,183.2198431941204,6.107328106470679,52.36007264538827,130.3099831563632,175.43275676621937,39.3537934594987,49.57701939394971,4,1,30,2015
CYM,Cayman Islands,2008,12,2008-12,2008-12-01,52.26189030387494,1.6858674291572562,29.53811436536701,52.261890303874964,52.26189030387497,11.361887969253965,27.49381283730928,2,0,31,2015
CYM,Cayman Islands,2009,1,2009-01,2009-01-01,22.518973308743522,0.7264184938304362,9.445843741460454,12.925352552725965,18.776823844106694,4.631676372189706,8.347243798956486,0,0,31,2015
CYM,Cayman Islands,2009,2,2009-02,2009-02-01,8.851478261343406,0.31612422361940734,4.610493334531755,8.391492379631318,8.391492379631318,2.587545011235579,4.3865298763850635,0,0,28,2015
CYM,Cayman Islands,2009,3,2009-03,2009-03-01,26.982685376409705,0.8704092056906356,6.418856995196315,7.739973522933233,8.536047881923436,6.225793586056975,6.395869155299321,0,0,31,2015
CYM,Cayman Islands,2009,4,2009-04,2009-04-01,23.136780327592337,0.7712260109197445,6.135464508229701,11.587908716365249,15.208650917618787,4.400061375124941,5.81710878542972,0,0,30,2015
CYM,Cayman Islands,2009,5,2009-05,2009-05-01,41.28190493922639,1.3316743528782709,25.672011266224366,27.431269783018724,30.56219633665549,4.140258340813374,19.44455698236176,1,0,31,2015
CYM,Cayman Islands,2009,6,2009-06,2009-06-01,193.5416712116728,6.451389040389093,57.54914267732665,115.19800438814079,115.19800438814079,33.135221466934084,53.19868290511429,3,1,30,2015
CYM,Cayman Islands,2009,7,2009-07,2009-07-01,46.24489745948485,1.4917708857898337,20.386809066292383,25.75077555565693,64.60849363769003,9.395571814390514,17.37649648659274,1,0,31,2015
CYM,Cayman Islands,2009,8,2009-08,2009-08-01,30.840730444470392,0.9948622724022707,8.37655676681047,12.143702788799278,14.918038928158126,5.062748997906116,7.618722778929582,0,0,31,2015
CYM,Cayman Islands,2009,9,2009-09,2009-09-01,127.78963695576607,4.259654565192203,32.56254740342443,72.99184097060117,74.14177479348336,24.106026708968493,31.76351974449245,2,0,30,2015
CYM,Cayman Islands,2009,10,2009-10,2009-10-01,399.14411316739324,12.875616553786879,103.3018869660468,222.40030373121772,248.33222327322665,82.08392624671771,102.52811641630706,6,4,31,2015
CYM,Cayman Islands,2009,11,2009-11,2009-11-01,145.14480752643675,4.838160250881225,70.67318600958447,127.99356055443769,139.03707682831276,28.98679137547764,59.43656827465677,3,1,30,2015
CYM,Cayman Islands,2009,12,2009-12,2009-12-01,44.04882131129272,1.42092971971912,25.553191771504146,27.06318103075885,40.677318370723675,7.562063299609764,21.97147544204234,1,0,31,2015
CYM,Cayman Islands,2010,1,2010-01,2010-01-01,12.966781016731481,0.4182832586042413,6.6188008378959795,6.7186236937231225,9.706991400199659,2.919367717066655,5.529670898470144,0,0,31,2015
CYM,Cayman Islands,2010,2,2010-02,2010-02-01,34.51541879645768,1.2326935284449172,18.566987432990487,34.51541879645768,34.51541879645768,10.366480386253652,17.8599772942192,0,0,28,2015
CYM,Cayman Islands,2010,3,2010-03,2010-03-01,20.67063209451601,0.6667945836940647,19.082234357792043,19.32050547919002,19.407880698503792,0.4716915665800566,13.561762094574838,0,0,31,2015
CYM,Cayman Islands,2010,4,2010-04,2010-04-01,34.39686182951264,1.1465620609837546,22.44141271385381,33.85770874280793,33.85770874280793,5.96204197245935,18.32505842918325,1,0,30,2015
CYM,Cayman Islands,2010,5,2010-05,2010-05-01,95.21504201177456,3.07145296812176,37.63805065064352,65.14002122346643,79.16219003516181,15.923043209994145,31.162491048434276,1,0,31,2015
CYM,Cayman Islands,2010,6,2010-06,2010-06-01,118.96112194325795,3.9653707314419315,30.20664803758826,72.45433287586854,94.35824370955194,24.58329532684143,29.21162061757555,3,0,30,2015
CYM,Cayman Islands,2010,7,2010-07,2010-07-01,243.31565528399415,7.848892105935295,46.50841975327601,83.31237256311314,113.65174594576335,25.263547068838488,40.53323158588353,4,0,31,2015
