iso3,country,year,lat,lon,pop_count,pop_share
TTO,Trinidad and Tobago,2017,10.02499771118164,-61.775001525878906,0.0,0.0
TTO,Trinidad and Tobago,2017,10.02499771118164,-61.725006103515625,0.0,0.0
TTO,Trinidad and Tobago,2017,10.02499771118164,-61.67500305175781,0.0,0.0
TTO,Trinidad and Tobago,2017,10.02499771118164,-61.62500762939453,0.0,0.0
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.87500762939453,1330.3182436249554,0.0009679977020122976
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.82500457763672,648.8934463262558,0.00047216323455287295
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.775001525878906,71.0636864900589,5.1709044470033276e-05
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.725006103515625,103.06830608844757,7.499700460549692e-05
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.67500305175781,1059.2168365123146,0.0007707324684075483
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.62500762939453,4072.2776980400085,0.002963167251557273
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.57500457763672,2937.576448679191,0.002137509024952201
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.525001525878906,66.91245148149578,4.8688424428130755e-05
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.475006103515625,323.3683238030878,0.00023529692676544574
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.42500305175781,87.03676486036328,6.333175447240471e-05
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.37500762939453,187.26715913414955,0.00013626377039698256
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.32500457763672,682.8193300369533,0.0004968491904345318
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.275001525878906,998.2705445290046,0.0007263852824099647
TTO,Trinidad and Tobago,2017,10.074996948242188,-61.225006103515625,16.68225285410881,1.2138736354665817e-05
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.87500762939453,0.0,0.0
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.82500457763672,636.5803154114269,0.00046320366229469443
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.775001525878906,1489.632725358252,0.0010839218825263461
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.725006103515625,2503.903516769409,0.0018219496439354334
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.67500305175781,1668.8061923983232,0.0012142963287819755
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.62500762939453,1135.5365582704544,0.000826266033878913
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.57500457763672,4866.740997731697,0.003541253474248713
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.525001525878906,9434.396762013435,0.006864879459682057
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.475006103515625,6559.184066414833,0.004772749027378767
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.42500305175781,9427.617071151733,0.0068599462602721185
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.37500762939453,1393.896613240242,0.001014260102742507
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.32500457763672,946.8852691650584,0.0006889951100148006
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.275001525878906,3112.8138927232503,0.002265019448833135
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.225006103515625,138.2810263633728,0.00010061931901866299
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.17500305175781,54.96026647110984,3.9991492186899944e-05
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.12500762939453,98.09080582925235,7.137515785134164e-05
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.07500457763672,791.0973927974701,0.0005756370417120737
TTO,Trinidad and Tobago,2017,10.124996185302734,-61.025001525878906,616.5178024768873,0.00044860530095499875
TTO,Trinidad and Tobago,2017,10.124996185302734,-60.975006103515625,441.7200450897217,0.00032141481230423837
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.82500457763672,0.0,0.0
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.775001525878906,1.8628052225744263e-11,1.3554585027978528e-17
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.725006103515625,2083.159198284149,0.0015157976871535172
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.67500305175781,20066.498488903046,0.014601261403258268
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.62500762939453,4385.888628959656,0.0031913642727669886
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.57500457763672,5908.410492897034,0.004299217730101335
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.525001525878906,15657.914628505707,0.011393383088093085
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.475006103515625,20071.197108268738,0.014604680324084482
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.42500305175781,16363.331310272217,0.011906675099371876
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.37500762939453,11419.603816270828,0.008309402885372609
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.32500457763672,4913.355547428131,0.0035751722581207077
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.275001525878906,275.9929040670395,0.000200824500595147
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.225006103515625,22.279952377080917,1.621186720193392e-05
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.17500305175781,8.639826178847873,6.286715172845686e-06
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.12500762939453,4.122003018856049,2.9993495684670913e-06
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.07500457763672,70.17871254684147,5.106509874690994e-05
TTO,Trinidad and Tobago,2017,10.174999237060547,-61.025001525878906,2462.536079526095,0.00179184888843459
TTO,Trinidad and Tobago,2017,10.174999237060547,-60.975006103515625,133.89741042256355,9.742960845313299e-05
