iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed
TCA,Turks and Caicos Islands,2007,1,2007-01,2007-01-01,17.284499480072498,0.5575644993571773,10.471829210754862,11.494128519304304,11.498280207328314,2.8632488699344654,8.710773424171602,0,0,31
TCA,Turks and Caicos Islands,2007,2,2007-02,2007-02-01,13.819814100410984,0.49356478930039227,5.326686117269994,5.745473626775267,5.945693691071727,3.447233201171207,5.112333207432568,0,0,28
TCA,Turks and Caicos Islands,2007,3,2007-03,2007-03-01,141.65758167388907,4.569599408835131,63.22038074845788,97.02369418746645,111.81451639926898,28.91336183885156,53.83719102192223,3,1,31
TCA,Turks and Caicos Islands,2007,4,2007-04,2007-04-01,30.565903181233423,1.0188634393744473,9.282943235235464,9.282943235235464,9.282943235235464,7.675250541192225,9.053664632085969,0,0,30
TCA,Turks and Caicos Islands,2007,5,2007-05,2007-05-01,238.24537785146043,7.685334769401949,60.41240621661248,112.2673203662758,112.57994664297087,46.080251297340055,59.08760717714954,5,2,31
TCA,Turks and Caicos Islands,2007,6,2007-06,2007-06-01,40.68869696138045,1.3562898987126817,20.220360505427397,20.558065723516954,20.560534054153166,9.948880651586697,17.2819761935885,1,0,30
TCA,Turks and Caicos Islands,2007,7,2007-07,2007-07-01,27.948469948815873,0.9015635467359959,14.857558354152498,27.26392615885856,27.26392615885856,6.373510990679083,14.122201189318565,0,0,31
TCA,Turks and Caicos Islands,2007,8,2007-08,2007-08-01,44.83736809137805,1.4463667126250985,24.668332367870285,25.047799507359148,25.047799507359148,9.778618777889765,23.010074334208714,1,0,31
TCA,Turks and Caicos Islands,2007,9,2007-09,2007-09-01,52.293367542953234,1.7431122514317745,14.307552416939458,22.93450146344327,36.847918766424385,12.157308970292064,14.193253233891541,0,0,30
TCA,Turks and Caicos Islands,2007,10,2007-10,2007-10-01,248.26519973931462,8.008554830300472,31.6484518266269,70.17514998281729,83.20359338825347,26.781567115659406,31.192298890381224,4,0,31
TCA,Turks and Caicos Islands,2007,11,2007-11,2007-11-01,66.02532853313996,2.2008442844379985,43.93100703201749,88.97229488297656,118.05440141414383,11.977796145014183,37.45678273377909,2,0,30
TCA,Turks and Caicos Islands,2007,12,2007-12,2007-12-01,33.44402011254473,1.0788393584691847,23.737987406442286,26.656572667118624,28.054224429043437,2.3398114251153466,17.429787621922177,1,0,31
TCA,Turks and Caicos Islands,2008,1,2008-01,2008-01-01,16.257224228111834,0.5244265880036075,6.404589944507333,12.184131743938956,12.184131743938956,3.9464719133765414,6.2170755009846195,0,0,31
TCA,Turks and Caicos Islands,2008,2,2008-02,2008-02-01,13.248228784158776,0.45683547531581986,5.408531643431012,5.408531643431012,5.779541799431622,3.4836960725088364,5.193615643311026,0,0,29
TCA,Turks and Caicos Islands,2008,3,2008-03,2008-03-01,31.36821913267012,1.0118780365377458,11.438485718302342,20.403550969537598,20.403550969537598,8.460382743051538,11.134167574993953,0,0,31
TCA,Turks and Caicos Islands,2008,4,2008-04,2008-04-01,49.97113215954488,1.6657044053181627,49.60503952824179,60.12435540157206,60.21373918873068,0.09422323982215436,35.24719301520792,1,0,30
TCA,Turks and Caicos Islands,2008,5,2008-05,2008-05-01,72.37196025267032,2.334579362989365,35.15882752625947,70.55992723317237,72.2396534893772,18.12775306041379,35.039094521679495,2,0,31
