iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed
LCA,Saint Lucia,2007,1,2007-01,2007-01-01,107.40243327070165,3.464594621635537,15.718404851823642,31.795991630575735,39.267109052683054,11.703319013776053,14.518606690816672,0,0,31
LCA,Saint Lucia,2007,2,2007-02,2007-02-01,62.473589152285854,2.2311996125816376,16.42481911625956,20.299419065064665,29.81018960527213,9.257783657841172,14.558026000725498,0,0,28
LCA,Saint Lucia,2007,3,2007-03,2007-03-01,61.32247024026874,1.9781442012989916,21.742760779602513,37.78985811085671,41.92635713889351,10.863369917572367,19.78953875615306,1,0,31
LCA,Saint Lucia,2007,4,2007-04,2007-04-01,112.47175104874003,3.7490583682913345,101.03506357721614,138.00984505825633,142.96142071610964,2.7286235718547416,72.59405500591062,1,1,30
LCA,Saint Lucia,2007,5,2007-05,2007-05-01,55.214385859000814,1.7811092212580908,18.092274269842424,18.092274269842424,18.092274269842424,8.382361333840805,15.284451641576926,0,0,31
LCA,Saint Lucia,2007,6,2007-06,2007-06-01,144.31345500001686,4.810448500000562,61.549538467351404,100.86792917367313,101.7623729753586,39.695242189835405,56.03998609897041,3,1,30
LCA,Saint Lucia,2007,7,2007-07,2007-07-01,144.16308643268667,4.650422142989893,62.374982088217244,89.18029289384339,105.24794316116665,24.926337128444565,51.459713569712335,3,1,31
LCA,Saint Lucia,2007,8,2007-08,2007-08-01,386.367761894175,12.463476190134676,103.08022435654617,128.8502804456827,166.80191043055146,58.81865051031341,96.06185836030973,7,2,31
LCA,Saint Lucia,2007,9,2007-09,2007-09-01,148.7988899161572,4.95996299720524,57.4562325814653,94.0468493594519,94.0468493594519,30.47090229387581,50.608332216479184,3,1,30
LCA,Saint Lucia,2007,10,2007-10,2007-10-01,279.7375374334825,9.023791530112339,53.65750506735539,125.91454429520773,142.17989969654892,44.49691569407109,52.86465568574756,6,2,31
LCA,Saint Lucia,2007,11,2007-11,2007-11-01,113.99387876082571,3.7997959586941903,23.940890023516722,37.81394443843061,52.21289106348145,12.957665447159327,20.839967211361795,1,0,30
LCA,Saint Lucia,2007,12,2007-12,2007-12-01,138.4493844261563,4.4661091750373005,103.67412114214368,111.02022849189781,111.02022849189781,4.561199455945829,73.96457541158603,1,1,31
LCA,Saint Lucia,2008,1,2008-01,2008-01-01,89.5353942313672,2.8882385235924906,26.12066670942979,34.6679177722866,38.123201917485915,12.346296359824812,23.12806919363869,1,0,31
LCA,Saint Lucia,2008,2,2008-02,2008-02-01,83.64964316200908,2.884470453862382,25.90628685933629,25.90628685933629,30.811960783422997,9.899285045475116,21.599488683098315,1,0,29
LCA,Saint Lucia,2008,3,2008-03,2008-03-01,83.3486191396343,2.68866513353659,83.3486191396343,83.3486191396343,83.3486191396343,0.0,58.34403339774394,1,1,31
LCA,Saint Lucia,2008,4,2008-04,2008-04-01,82.5117145610363,2.7503904853678764,16.24526260136102,27.889911303507905,34.8448967180902,11.469698719996588,15.548943427513775,0,0,30
LCA,Saint Lucia,2008,5,2008-05,2008-05-01,94.86231250090985,3.0600745968035437,20.417092114717036,41.472006143126876,50.88191999609511,18.444003583588092,20.375518935961196,2,0,31
LCA,Saint Lucia,2008,6,2008-06,2008-06-01,188.06079836059124,6.268693278686374,42.45588453475919,60.85404140350406,73.64085073401299,32.87831895663369,40.080176944081124,5,0,30
LCA,Saint Lucia,2008,7,2008-07,2008-07-01,183.89184944945148,5.931995143530693,57.292520026795906,92.31297632709392,105.795769158929,28.43371150720965,49.35668192945546,4,1,31
LCA,Saint Lucia,2008,8,2008-08,2008-08-01,199.2371846399969,6.427005956128933,56.15901583720902,97.9600084457812,107.53911791600743,36.85837863764209,51.85160886861796,4,1,31
LCA,Saint Lucia,2008,9,2008-09,2008-09-01,263.3292567679132,8.777641892263773,97.05354779071513,142.32725974164507,143.62220030266238,44.75802464539311,83.061656806369,4,1,30
LCA,Saint Lucia,2008,10,2008-10,2008-10-01,409.9381879347609,13.223812514024544,70.32009954941591,157.16094643693305,204.50299312577823,47.67061730251358,64.50064138896427,10,2,31
LCA,Saint Lucia,2008,11,2008-11,2008-11-01,259.1541280221726,8.63847093407242,166.31731029433857,166.31731029433857,259.1541280221726,51.06024975030846,145.00796745005232,2,2,30
LCA,Saint Lucia,2008,12,2008-12,2008-12-01,248.26061176299012,8.008406831064198,124.21162864914356,248.26061176299012,248.26061176299012,62.02449155692328,124.16283498855447,2,2,31
LCA,Saint Lucia,2009,1,2009-01,2009-01-01,157.12168081902598,5.068441316742773,25.716729689229396,36.90824972679452,55.48786956560805,16.075549801505517,22.943276554084576,1,0,31
LCA,Saint Lucia,2009,2,2009-02,2009-02-01,66.61696714517906,2.3791773980421094,11.1591647299453,28.229121099401354,28.22912109940135,10.16201464325384,11.031217441140871,0,0,28
LCA,Saint Lucia,2009,3,2009-03,2009-03-01,59.80191381831038,1.9290939941390446,14.702741166114999,16.33922706935526,25.24549980319699,10.077713571698677,13.666665139147185,0,0,31
LCA,Saint Lucia,2009,4,2009-04,2009-04-01,122.2806101096236,4.076020336987453,50.71450597669426,58.77896504101801,58.77896504101801,15.115988891013206,41.557734305067264,1,1,30
LCA,Saint Lucia,2009,5,2009-05,2009-05-01,195.2968610308879,6.299898742931868,79.17161208325075,85.44806497518387,91.2874641645551,39.73913174081606,68.4183763837253,3,1,31
LCA,Saint Lucia,2009,6,2009-06,2009-06-01,141.08626329707542,4.702875443235848,65.61967369325369,83.97918415117311,94.18336594027406,27.947754793274235,58.150267523982976,2,1,30
LCA,Saint Lucia,2009,7,2009-07,2009-07-01,213.02492692185672,6.871771836188926,62.53392527390256,83.09305872455406,131.07956482275125,46.86647212020965,58.169699521190935,3,1,31
LCA,Saint Lucia,2009,8,2009-08,2009-08-01,145.03264741972922,4.6784724974106195,66.90033861979455,128.5903393613025,131.68702648097147,30.84500037075398,58.6221239925738,3,1,31
LCA,Saint Lucia,2009,9,2009-09,2009-09-01,195.48564257469414,6.516188085823138,94.89049098797359,160.82274837575653,160.82274837575653,38.999108691582926,80.4853659404267,4,1,30
LCA,Saint Lucia,2009,10,2009-10,2009-10-01,158.35238489712404,5.108141448294324,64.49685888325696,64.49685888325696,66.52638801767051,43.175012961348415,62.854067596229946,3,2,31
LCA,Saint Lucia,2009,11,2009-11,2009-11-01,139.84769740251792,4.661589913417264,77.75793341234949,133.19582451281497,134.41394580122088,30.07058447162543,70.06637980437482,2,2,30
LCA,Saint Lucia,2009,12,2009-12,2009-12-01,101.32920439354201,3.2686840126949037,18.14340931335016,23.889808692880585,29.979293575907285,12.970344191764084,16.651389484615397,0,0,31
LCA,Saint Lucia,2010,1,2010-01,2010-01-01,96.93047312315478,3.126789455585638,17.33155807962025,28.99097005704889,28.99097005704889,11.580468527429915,15.629914248962763,0,0,31
LCA,Saint Lucia,2010,2,2010-02,2010-02-01,24.003791252705938,0.857278259025212,8.552878632132604,19.1103124497471,24.763676626440436,6.648319194688778,8.520170177655102,0,0,28
LCA,Saint Lucia,2010,3,2010-03,2010-03-01,72.30624944808291,2.3324596596155778,13.19892122652773,17.295857905195245,28.166262467387124,10.95641258560401,12.864033071626123,0,0,31
LCA,Saint Lucia,2010,4,2010-04,2010-04-01,114.6654509673397,3.822181698911323,19.165775031937805,39.11700854066852,53.5230356476631,15.182085496555189,18.345867397056683,0,0,30
LCA,Saint Lucia,2010,5,2010-05,2010-05-01,182.66467141175886,5.892408755218027,104.32708739556506,152.48230594565973,169.98283075398143,32.82787167920819,87.4755267419239,2,1,31
LCA,Saint Lucia,2010,6,2010-06,2010-06-01,335.3824641952475,11.179415473174917,122.60101993676794,138.64499538958344,232.13388516262933,63.29442718387891,106.6860402323255,4,3,30
LCA,Saint Lucia,2010,7,2010-07,2010-07-01,285.3612491720422,9.20520158619491,62.38376916667005,107.87826471506972,125.22578492198836,44.76152039213119,59.0494804622342,5,2,31
LCA,Saint Lucia,2010,8,2010-08,2010-08-01,352.89564878474846,11.383730605959627,110.12566136340824,136.78343064461922,155.94417598930738,36.43876832618062,89.89161323013366,6,1,31
LCA,Saint Lucia,2010,9,2010-09,2010-09-01,299.9965193711784,9.99988397903928,77.21786796412205,117.47243742922228,133.91442365381545,41.258183917278814,67.91998176651691,7,1,30
LCA,Saint Lucia,2010,10,2010-10,2010-10-01,327.33623040316303,10.55923323881171,89.80591628036971,157.76309867605556,157.7630986760556,45.12506774532969,78.76264344571757,6,2,31
LCA,Saint Lucia,2010,11,2010-11,2010-11-01,242.49876800640743,8.083292266880248,133.80598268793548,182.7517757862913,182.75177578629132,44.71107849824056,108.30026719667379,3,1,30
LCA,Saint Lucia,2010,12,2010-12,2010-12-01,236.21294504559128,7.619772420825525,131.54781673892856,137.31453309235766,142.5793308821507,47.59003773683314,118.90747945332112,2,2,31
LCA,Saint Lucia,2011,1,2011-01,2011-01-01,122.52762326642072,3.952503976336152,17.2010489368356,30.974562554979585,32.29018288482121,13.2595636864115,16.172788341228113,0,0,31
LCA,Saint Lucia,2011,2,2011-02,2011-02-01,58.17323052207762,2.0776153757884863,12.101995994548941,22.19631951886423,28.985953231216257,9.741178723113018,11.559924427585857,0,0,28
LCA,Saint Lucia,2011,3,2011-03,2011-03-01,82.52017617207461,2.6619411668411166,16.013548781609444,27.15308111035244,34.45000110673198,9.83331072268112,14.551343845749505,0,0,31
LCA,Saint Lucia,2011,4,2011-04,2011-04-01,316.7055615740376,10.556852052467919,157.41366211907786,157.41366211907786,157.41366211907786,80.64077004260633,142.22368846762217,3,3,30
LCA,Saint Lucia,2011,5,2011-05,2011-05-01,229.88766236354792,7.415731043985416,137.0297435500318,157.41366211907786,298.2129794551249,36.593018191377894,111.63002095178908,3,2,31
LCA,Saint Lucia,2011,6,2011-06,2011-06-01,195.03929172891762,6.501309724297254,69.85441689605261,69.85441689605261,96.4365184527414,26.906086683686702,57.47627396914513,4,1,30
LCA,Saint Lucia,2011,7,2011-07,2011-07-01,366.20504731401587,11.813066042387609,55.51030313480743,99.56130462177492,136.07129103668885,43.94064542087132,52.07251264045544,10,1,31
LCA,Saint Lucia,2011,8,2011-08,2011-08-01,343.4589824242367,11.079322013685054,105.50629874767411,170.42400050609638,170.42400050609638,49.20780978129348,89.69636052008327,6,2,31
