iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed
ATG,Antigua and Barbuda,2007,1,2007-01,2007-01-01,95.30501552337901,3.074355339463839,90.26394183050567,93.73954470765253,93.73954470765253,1.7749367071182465,64.04825148610468,1,1,31
ATG,Antigua and Barbuda,2007,2,2007-02,2007-02-01,22.559701184856696,0.805703613744882,7.94509536167102,11.474838872448347,11.530316853050634,6.000153873129466,7.779120820137536,0,0,28
ATG,Antigua and Barbuda,2007,3,2007-03,2007-03-01,61.257967823076406,1.976063478163755,38.46821579998896,53.282018658338096,61.01896472352899,11.275374461770015,31.371891917496995,1,0,31
ATG,Antigua and Barbuda,2007,4,2007-04,2007-04-01,42.854349370809814,1.428478312360327,31.419867076523094,31.419867076523094,31.419867076523094,6.288965261857661,25.624105489674562,1,0,30
ATG,Antigua and Barbuda,2007,5,2007-05,2007-05-01,46.359321527789305,1.495461984767397,35.27622557445877,35.27622557445877,43.18146986806333,5.278194590032564,26.906919158222863,1,0,31
ATG,Antigua and Barbuda,2007,6,2007-06,2007-06-01,57.52418593228372,1.9174728644094574,45.52053850346096,46.65048106898162,47.89446605188484,2.343380873028765,33.00833648950678,1,0,30
ATG,Antigua and Barbuda,2007,7,2007-07,2007-07-01,95.33336305727542,3.0752697760411425,35.33326673498007,60.8836604301429,84.98267170741255,22.708914328432435,32.398404823034895,2,0,31
ATG,Antigua and Barbuda,2007,8,2007-08,2007-08-01,91.11944311401537,2.939336874645657,60.4323317411988,71.98585521133725,78.00748447696948,8.787576367885336,45.76868925988066,1,1,31
ATG,Antigua and Barbuda,2007,9,2007-09,2007-09-01,121.39671146459284,4.0465570488197615,27.323323015716742,39.61702684452817,50.35417347939377,21.04892024313419,26.121215808078787,2,0,30
ATG,Antigua and Barbuda,2007,10,2007-10,2007-10-01,247.56583967353808,7.985994828178648,54.65679037420686,114.59450767620034,131.96652757280185,34.29229852052203,48.8719724287781,6,1,31
