iso3,country,year,month,year_month,date,monthly_total_mm_pop,monthly_mean_daily_mm_pop,monthly_max_1d_mm_pop,monthly_max_3d_mm_pop,monthly_max_5d_mm_pop,monthly_p95_daily_mm_pop,monthly_p99_daily_mm_pop,monthly_n_days_above_20mm_pop,monthly_n_days_above_50mm_pop,n_days_observed
BHS,Bahamas,2007,1,2007-01,2007-01-01,25.328072016319055,0.8170345811715825,9.262898745054574,13.593231537139285,13.828430324440331,4.23186998290224,7.780163761034608,0,0,31
BHS,Bahamas,2007,2,2007-02,2007-02-01,73.65444773967411,2.630515990702647,47.06849373932911,47.1539760415556,47.241694464786725,16.12200870746652,40.88944056257568,2,0,28
BHS,Bahamas,2007,3,2007-03,2007-03-01,26.931593490059957,0.8687610803245147,6.6374334379827955,25.33450064715707,26.191404800229748,5.771425977986167,6.579721993126512,0,0,31
BHS,Bahamas,2007,4,2007-04,2007-04-01,61.08634239483576,2.036211413161192,48.41959477855743,48.971638415645295,50.38695529031794,5.109676169814859,36.56073167448593,1,0,30
BHS,Bahamas,2007,5,2007-05,2007-05-01,109.66576350821038,3.5376052744583992,40.19736306446477,41.10988461226317,60.80266495106175,18.22921547036001,33.96315685129745,1,0,31
BHS,Bahamas,2007,6,2007-06,2007-06-01,394.8116671123538,13.160388903745126,58.025385180688964,111.85368548339072,127.53305804586519,41.58055843953046,54.223013167733185,9,1,30
BHS,Bahamas,2007,7,2007-07,2007-07-01,70.2798586620235,2.267092214903984,12.190202663615388,44.094169916228424,89.77572858177761,8.511249961721447,11.098471549424108,0,0,31
BHS,Bahamas,2007,8,2007-08,2007-08-01,58.07700593465902,1.8734518043438393,26.83803226169545,27.623876457213488,35.93633835098386,8.410725946306592,21.37477211474577,1,0,31
BHS,Bahamas,2007,9,2007-09,2007-09-01,283.00342564236314,9.433447521412104,48.9749640103421,103.06635690803093,116.93419799378792,38.95843057669996,47.91125487126382,6,0,30
BHS,Bahamas,2007,10,2007-10,2007-10-01,226.98683750474527,7.32215604854017,55.462568128398686,57.502327120647934,70.79151629254403,22.137389415471063,45.573401479928556,4,1,31
BHS,Bahamas,2007,11,2007-11,2007-11-01,97.39013292446369,3.2463377641487896,88.73430043150276,151.6696729041324,153.70943189638163,4.310128729650813,65.16846656619401,1,1,30
BHS,Bahamas,2007,12,2007-12,2007-12-01,35.28181460175238,1.1381230516694316,10.133127461095892,17.234543303352318,17.8452909712249,6.748059968176583,9.179166506206974,0,0,31
BHS,Bahamas,2008,1,2008-01,2008-01-01,42.35173858991289,1.3661851158036415,22.157597468775325,38.00690869011739,38.47860815476392,7.924655610671033,19.849366531268927,1,0,31
BHS,Bahamas,2008,2,2008-02,2008-02-01,68.06672749247569,2.3471285342233,43.18781975466745,62.56073477420625,62.87905871029798,12.249873283703714,36.13596360942934,1,0,29
BHS,Bahamas,2008,3,2008-03,2008-03-01,54.3290597544911,1.752550314661003,15.253621232058505,30.200216974968974,31.083782782269903,14.686934808956998,15.161513585314093,0,0,31
