hazard,index_name,iso3,country,policy_year,n_months,n_payout_months,optimal_threshold,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,net_score,tp,fp,fn,tn,above_threshold_with_payout,above_threshold_no_payout,below_threshold_with_payout,below_threshold_no_payout,rdd_treated_n,rdd_untreated_5pct_n,rdd_untreated_10pct_n,near_below_5pct_n,near_tn_below_5pct,near_fn_below_5pct,near_below_payout_rate_5pct,near_below_10pct_n,near_tn_below_10pct,near_fn_below_10pct,near_below_payout_rate_10pct
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2014/15,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2016/17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2017/18,12,1,31.81988518922284,0.9166666666666666,0.9545454545454546,0.5,1.0,0.9090909090909091,0.6666666666666666,10.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2019/20,12,1,42.14703256416514,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2020/21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BHS,Bahamas,2024/25,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2014/15,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2016/17,12,1,35.87686800157243,0.8333333333333334,0.9090909090909092,0.3333333333333333,1.0,0.8181818181818182,0.5,8.0,1.0,2.0,0.0,9.0,1.0,2.0,0.0,9.0,1.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2017/18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2020/21,12,1,32.849794669058724,0.9166666666666666,0.9545454545454546,0.5,1.0,0.9090909090909091,0.6666666666666666,10.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BLZ,Belize,2024/25,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2014/15,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2016/17,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2017/18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2020/21,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BMU,Bermuda,2024/25,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2006/07,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2007/08,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2008/09,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2009/10,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2010/11,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2011/12,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2012/13,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2013/14,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2014/15,12,1,44.98234736452464,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2015/16,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2016/17,12,1,30.95091881229957,0.9166666666666666,0.9545454545454546,0.5,1.0,0.9090909090909091,0.6666666666666666,10.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,1.0,3.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0
rain,monthly_p95_daily_mm_pop,BRB,Barbados,2017/18,12,1,24.83409163057708,0.8333333333333334,0.9090909090909092,0.3333333333333333,1.0,0.8181818181818182,0.5,8.0,1.0,2.0,0.0,9.0,1.0,2.0,0.0,9.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
