hazard,iso3,country,policy_year,n_months,n_payout_months,optimal_threshold,accuracy,balanced_accuracy,precision,sensitivity,specificity,f1,net_score,tp,fp,fn,tn,above_threshold_with_payout,above_threshold_no_payout,below_threshold_with_payout,below_threshold_no_payout,rdd_treated_n,rdd_untreated_5pct_n,rdd_untreated_10pct_n,near_below_5pct_n,near_tn_below_5pct,near_fn_below_5pct,near_below_payout_rate_5pct,near_below_10pct_n,near_tn_below_10pct,near_fn_below_10pct,near_below_payout_rate_10pct
rain,BLZ,Belize,2016/17,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,BLZ,Belize,2017/18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,BLZ,Belize,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,BLZ,Belize,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,BLZ,Belize,2020/21,12,1,294.14315703898893,0.9166666666666666,0.9545454545454546,0.5,1.0,0.9090909090909091,0.6666666666666666,10.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,1.0,2.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0
rain,BLZ,Belize,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,BLZ,Belize,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,BLZ,Belize,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,BLZ,Belize,2024/25,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,JAM,Jamaica,2016/17,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,JAM,Jamaica,2017/18,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,JAM,Jamaica,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,JAM,Jamaica,2019/20,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,JAM,Jamaica,2020/21,12,1,365.9620492101664,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0
rain,JAM,Jamaica,2021/22,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,JAM,Jamaica,2022/23,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,JAM,Jamaica,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,JAM,Jamaica,2024/25,7,1,158.94356856960556,0.5714285714285714,0.75,0.25,1.0,0.5,0.4,1.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,TTO,Trinidad and Tobago,2016/17,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,TTO,Trinidad and Tobago,2017/18,12,1,233.52582562314765,0.8333333333333334,0.9090909090909092,0.3333333333333333,1.0,0.8181818181818182,0.5,8.0,1.0,2.0,0.0,9.0,1.0,2.0,0.0,9.0,1.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,TTO,Trinidad and Tobago,2018/19,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,TTO,Trinidad and Tobago,2019/20,12,1,162.80512446059464,0.5833333333333334,0.7727272727272727,0.16666666666666666,1.0,0.5454545454545454,0.2857142857142857,2.0,1.0,5.0,0.0,6.0,1.0,5.0,0.0,6.0,1.0,5.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,TTO,Trinidad and Tobago,2020/21,12,1,200.29513708239395,0.9166666666666666,0.9545454545454546,0.5,1.0,0.9090909090909091,0.6666666666666666,10.0,1.0,1.0,0.0,10.0,1.0,1.0,0.0,10.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
rain,TTO,Trinidad and Tobago,2021/22,12,1,461.0739534790373,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,TTO,Trinidad and Tobago,2022/23,12,2,339.1491274365624,0.8333333333333334,0.9,0.5,1.0,0.8,0.6666666666666666,8.0,2.0,2.0,0.0,8.0,2.0,2.0,0.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,
rain,TTO,Trinidad and Tobago,2023/24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
rain,TTO,Trinidad and Tobago,2024/25,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
