hazard,iso3,country,year,month,plot_date,policy_year,monthly_max_shake_proxy,monthly_sum_shake_proxy,monthly_max_mag_nearby,n_eq_nearby,has_payout,payout_amount_usd
earthquake,AIA,Anguilla,2011,7,2011-07-01,2011/12,131.96561034125816,131.96561034125816,4.6,1,0,0.0
earthquake,AIA,Anguilla,2011,8,2011-08-01,2011/12,160.92378305194404,160.92378305194404,4.6,1,0,0.0
earthquake,AIA,Anguilla,2011,9,2011-09-01,2011/12,83.59086943301845,120.62047479692956,5.0,2,0,0.0
earthquake,AIA,Anguilla,2011,10,2011-10-01,2011/12,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2011,11,2011-11-01,2011/12,223.18916927441083,657.3495927818301,5.2,6,0,0.0
earthquake,AIA,Anguilla,2011,12,2011-12-01,2011/12,109.52492162473436,269.5379055962325,5.6,4,0,0.0
earthquake,AIA,Anguilla,2012,1,2012-01-01,2011/12,92.08681214097297,92.08681214097297,4.6,1,0,0.0
earthquake,AIA,Anguilla,2012,2,2012-02-01,2011/12,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2012,3,2012-03-01,2011/12,27.83618599575094,27.83618599575094,4.7,1,0,0.0
earthquake,AIA,Anguilla,2012,4,2012-04-01,2011/12,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2012,5,2012-05-01,2011/12,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2012,6,2012-06-01,2012/13,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2012,7,2012-07-01,2012/13,297.5374017478355,297.5374017478355,5.0,1,0,0.0
earthquake,AIA,Anguilla,2012,8,2012-08-01,2012/13,142.8549634192587,537.6047489852457,5.0,5,0,0.0
earthquake,AIA,Anguilla,2012,9,2012-09-01,2012/13,127.06154510081738,469.5894121355372,4.9,6,0,0.0
earthquake,AIA,Anguilla,2012,10,2012-10-01,2012/13,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2012,11,2012-11-01,2012/13,23.4687088414168,23.4687088414168,4.5,1,0,0.0
earthquake,AIA,Anguilla,2012,12,2012-12-01,2012/13,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2013,1,2013-01-01,2012/13,142.30604715268169,142.30604715268169,5.0,1,0,0.0
earthquake,AIA,Anguilla,2013,2,2013-02-01,2012/13,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2013,3,2013-03-01,2012/13,149.22030913569864,340.26011559344647,4.7,3,0,0.0
earthquake,AIA,Anguilla,2013,4,2013-04-01,2012/13,240.34143188180727,240.34143188180727,5.3,1,0,0.0
earthquake,AIA,Anguilla,2013,5,2013-05-01,2012/13,174.1584472127568,367.994862871294,4.8,3,0,0.0
earthquake,AIA,Anguilla,2013,6,2013-06-01,2013/14,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2013,7,2013-07-01,2013/14,102.69549468348966,102.69549468348966,4.7,1,0,0.0
earthquake,AIA,Anguilla,2013,8,2013-08-01,2013/14,90.72085013308204,90.72085013308204,4.6,1,0,0.0
earthquake,AIA,Anguilla,2013,9,2013-09-01,2013/14,172.369661678095,172.369661678095,4.8,1,0,0.0
earthquake,AIA,Anguilla,2013,10,2013-10-01,2013/14,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2013,11,2013-11-01,2013/14,35.325443385685055,35.325443385685055,4.6,1,0,0.0
earthquake,AIA,Anguilla,2013,12,2013-12-01,2013/14,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2014,1,2014-01-01,2013/14,237.15446041202964,432.0039735463786,6.4,3,0,0.0
earthquake,AIA,Anguilla,2014,2,2014-02-01,2013/14,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2014,3,2014-03-01,2013/14,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2014,4,2014-04-01,2013/14,230.11875100356272,262.6479063896495,5.0,2,0,0.0
earthquake,AIA,Anguilla,2014,5,2014-05-01,2013/14,181.86760709323184,477.3627991678383,5.9,7,0,0.0
earthquake,AIA,Anguilla,2014,6,2014-06-01,2014/15,146.27757245323906,146.27757245323906,4.6,1,0,0.0
earthquake,AIA,Anguilla,2014,7,2014-07-01,2014/15,22.22957079698209,22.22957079698209,4.5,1,0,0.0
earthquake,AIA,Anguilla,2014,8,2014-08-01,2014/15,75.08564577147888,75.08564577147888,4.6,1,0,0.0
earthquake,AIA,Anguilla,2014,9,2014-09-01,2014/15,0.0,0.0,,0,0,0.0
earthquake,AIA,Anguilla,2014,10,2014-10-01,2014/15,0.0,0.0,,0,0,0.0
