hazard,iso3,country,year,month,plot_date,policy_year,hazard_index,monthly_total_mm_pop,has_payout,payout_amount_usd
rain,BLZ,Belize,2022,2,2022-02-01,2021/22,140.2439701062904,140.2439701062904,0,0.0
rain,BLZ,Belize,2022,3,2022-03-01,2021/22,88.18291557366497,88.18291557366497,0,0.0
rain,BLZ,Belize,2022,4,2022-04-01,2021/22,89.2829071463366,89.2829071463366,0,0.0
rain,BLZ,Belize,2022,5,2022-05-01,2021/22,113.27877882446676,113.27877882446676,0,0.0
rain,BLZ,Belize,2022,6,2022-06-01,2022/23,239.45205096979777,239.45205096979777,0,0.0
rain,BLZ,Belize,2022,7,2022-07-01,2022/23,181.9388131302059,181.9388131302059,0,0.0
rain,BLZ,Belize,2022,8,2022-08-01,2022/23,357.5755229476631,357.5755229476631,0,0.0
rain,BLZ,Belize,2022,9,2022-09-01,2022/23,295.962108841356,295.962108841356,0,0.0
rain,BLZ,Belize,2022,10,2022-10-01,2022/23,127.0181624756938,127.0181624756938,0,0.0
rain,BLZ,Belize,2022,11,2022-11-01,2022/23,313.7709311429566,313.7709311429566,0,0.0
rain,BLZ,Belize,2022,12,2022-12-01,2022/23,164.65355981646888,164.65355981646888,0,0.0
rain,BLZ,Belize,2023,1,2023-01-01,2022/23,64.84549729745427,64.84549729745427,0,0.0
rain,BLZ,Belize,2023,2,2023-02-01,2022/23,79.61063853746026,79.61063853746026,0,0.0
rain,BLZ,Belize,2023,3,2023-03-01,2022/23,49.852393282987,49.852393282987,0,0.0
rain,BLZ,Belize,2023,4,2023-04-01,2022/23,38.46543968198605,38.46543968198605,0,0.0
rain,BLZ,Belize,2023,5,2023-05-01,2022/23,65.92057867016072,65.92057867016072,0,0.0
rain,BLZ,Belize,2023,6,2023-06-01,2023/24,118.04425398847962,118.04425398847962,0,0.0
rain,BLZ,Belize,2023,7,2023-07-01,2023/24,209.763348815824,209.763348815824,0,0.0
rain,BLZ,Belize,2023,8,2023-08-01,2023/24,192.6423075669626,192.6423075669626,0,0.0
rain,BLZ,Belize,2023,9,2023-09-01,2023/24,187.01144122192704,187.01144122192704,0,0.0
rain,BLZ,Belize,2023,10,2023-10-01,2023/24,109.9976234511847,109.9976234511847,0,0.0
rain,BLZ,Belize,2023,11,2023-11-01,2023/24,382.8856142111209,382.8856142111209,0,0.0
rain,BLZ,Belize,2023,12,2023-12-01,2023/24,192.9144136276512,192.9144136276512,0,0.0
rain,BLZ,Belize,2024,1,2024-01-01,2023/24,97.85715833682748,97.85715833682748,0,0.0
rain,BLZ,Belize,2024,2,2024-02-01,2023/24,27.039938845542647,27.039938845542647,0,0.0
rain,BLZ,Belize,2024,3,2024-03-01,2023/24,23.34829441891229,23.34829441891229,0,0.0
rain,BLZ,Belize,2024,4,2024-04-01,2023/24,30.52039790913207,30.52039790913207,0,0.0
rain,BLZ,Belize,2024,5,2024-05-01,2023/24,11.655792726053155,11.655792726053155,0,0.0
rain,BLZ,Belize,2024,6,2024-06-01,2024/25,349.9696713543782,349.9696713543782,0,0.0
rain,BLZ,Belize,2024,7,2024-07-01,2024/25,300.386026514817,300.386026514817,0,0.0
rain,BLZ,Belize,2024,8,2024-08-01,2024/25,251.3653834620291,251.3653834620291,0,0.0
rain,BLZ,Belize,2024,9,2024-09-01,2024/25,207.54005623581529,207.54005623581529,0,0.0
rain,BLZ,Belize,2024,10,2024-10-01,2024/25,451.39831981089736,451.39831981089736,0,0.0
rain,BLZ,Belize,2024,11,2024-11-01,2024/25,265.80463364216206,265.80463364216206,0,0.0
rain,BLZ,Belize,2024,12,2024-12-01,2024/25,201.9175008512886,201.9175008512886,0,0.0
rain,JAM,Jamaica,2017,1,2017-01-01,2016/17,25.450922226047663,25.450922226047663,0,0.0
rain,JAM,Jamaica,2017,2,2017-02-01,2016/17,26.87784208235295,26.87784208235295,0,0.0
rain,JAM,Jamaica,2017,3,2017-03-01,2016/17,71.07251305263486,71.07251305263486,0,0.0
rain,JAM,Jamaica,2017,4,2017-04-01,2016/17,159.93675296241955,159.93675296241955,0,0.0
rain,JAM,Jamaica,2017,5,2017-05-01,2016/17,255.4359637578824,255.4359637578824,0,0.0
rain,JAM,Jamaica,2017,6,2017-06-01,2017/18,116.06321176090998,116.06321176090998,0,0.0
rain,JAM,Jamaica,2017,7,2017-07-01,2017/18,39.56592307821696,39.56592307821696,0,0.0
rain,JAM,Jamaica,2017,8,2017-08-01,2017/18,65.11731684452232,65.11731684452232,0,0.0
rain,JAM,Jamaica,2017,9,2017-09-01,2017/18,157.81730228288876,157.81730228288876,0,0.0
rain,JAM,Jamaica,2017,10,2017-10-01,2017/18,223.47333504035635,223.47333504035635,0,0.0
rain,JAM,Jamaica,2017,11,2017-11-01,2017/18,251.40079687700475,251.40079687700475,0,0.0
rain,JAM,Jamaica,2017,12,2017-12-01,2017/18,79.25662098702959,79.25662098702959,0,0.0
rain,JAM,Jamaica,2018,1,2018-01-01,2017/18,163.6160731022503,163.6160731022503,0,0.0
rain,JAM,Jamaica,2018,2,2018-02-01,2017/18,33.478818875842926,33.478818875842926,0,0.0
rain,JAM,Jamaica,2018,3,2018-03-01,2017/18,51.23049406949535,51.23049406949535,0,0.0
rain,JAM,Jamaica,2018,4,2018-04-01,2017/18,78.70236036449403,78.70236036449403,0,0.0
rain,JAM,Jamaica,2018,5,2018-05-01,2017/18,274.1736322888825,274.1736322888825,0,0.0
rain,JAM,Jamaica,2018,6,2018-06-01,2018/19,31.124265668413106,31.124265668413106,0,0.0
rain,JAM,Jamaica,2018,7,2018-07-01,2018/19,24.787378079587047,24.787378079587047,0,0.0
rain,JAM,Jamaica,2018,8,2018-08-01,2018/19,28.618277386306477,28.618277386306477,0,0.0
rain,JAM,Jamaica,2018,9,2018-09-01,2018/19,89.26280038722369,89.26280038722369,0,0.0
