hazard,iso3,country,year,month,plot_date,policy_year,monthly_max_wind_kt,monthly_max_wind_mps,n_storms,storm_names,storm_ids,has_payout,payout_amount_usd
tc,AIA,Anguilla,2007,1,2007-01-01,2006/07,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,2,2007-02-01,2006/07,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,3,2007-03-01,2006/07,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,4,2007-04-01,2006/07,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,5,2007-05-01,2006/07,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,6,2007-06-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,7,2007-07-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,8,2007-08-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,9,2007-09-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,10,2007-10-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,11,2007-11-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2007,12,2007-12-01,2007/08,35.0,18.00554,1,OLGA,2007345N18298,0,0.0
tc,AIA,Anguilla,2008,1,2008-01-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,2,2008-02-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,3,2008-03-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,4,2008-04-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,5,2008-05-01,2007/08,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,6,2008-06-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,7,2008-07-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,8,2008-08-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,9,2008-09-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,10,2008-10-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,11,2008-11-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2008,12,2008-12-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,1,2009-01-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,2,2009-02-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,3,2009-03-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,4,2009-04-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,5,2009-05-01,2008/09,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,6,2009-06-01,2009/10,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,7,2009-07-01,2009/10,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,8,2009-08-01,2009/10,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,9,2009-09-01,2009/10,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,10,2009-10-01,2009/10,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,11,2009-11-01,2009/10,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2009,12,2009-12-01,2009/10,0.0,0.0,0,,,0,0.0
tc,AIA,Anguilla,2010,1,2010-01-01,2009/10,0.0,0.0,0,,,0,0.0
