iso3,country,n_months,monthly_total_mm_pop_mean,monthly_total_mm_pop_std,monthly_total_mm_pop_p50,monthly_total_mm_pop_p90,monthly_total_mm_pop_p95,monthly_total_mm_pop_p99,monthly_total_mm_pop_max,monthly_max_1d_mm_pop_mean,monthly_max_1d_mm_pop_std,monthly_max_1d_mm_pop_p50,monthly_max_1d_mm_pop_p90,monthly_max_1d_mm_pop_p95,monthly_max_1d_mm_pop_p99,monthly_max_1d_mm_pop_max,monthly_max_3d_mm_pop_mean,monthly_max_3d_mm_pop_std,monthly_max_3d_mm_pop_p50,monthly_max_3d_mm_pop_p90,monthly_max_3d_mm_pop_p95,monthly_max_3d_mm_pop_p99,monthly_max_3d_mm_pop_max,monthly_max_5d_mm_pop_mean,monthly_max_5d_mm_pop_std,monthly_max_5d_mm_pop_p50,monthly_max_5d_mm_pop_p90,monthly_max_5d_mm_pop_p95,monthly_max_5d_mm_pop_p99,monthly_max_5d_mm_pop_max,monthly_p95_daily_mm_pop_mean,monthly_p95_daily_mm_pop_std,monthly_p95_daily_mm_pop_p50,monthly_p95_daily_mm_pop_p90,monthly_p95_daily_mm_pop_p95,monthly_p95_daily_mm_pop_p99,monthly_p95_daily_mm_pop_max,monthly_p99_daily_mm_pop_mean,monthly_p99_daily_mm_pop_std,monthly_p99_daily_mm_pop_p50,monthly_p99_daily_mm_pop_p90,monthly_p99_daily_mm_pop_p95,monthly_p99_daily_mm_pop_p99,monthly_p99_daily_mm_pop_max
BRB,Barbados,216.0,88.35368424874068,57.03670652022017,75.50456662405517,167.47811783143732,204.1347471064297,234.1940137869771,254.4801517797928,31.062628912354494,20.32275159502298,28.631704831925724,60.01158415009857,66.6468032000826,92.81487471724687,108.320584545616,43.7584642240914,28.46113774360729,42.473786307558214,79.5776626885725,88.5877642255737,124.71784937418734,142.18298477518067,50.93695925443818,32.79656059466746,49.141788096256846,89.27097874486446,109.6648631565076,140.7462502883266,156.45782542804767,15.033797902230665,10.062152261446446,13.553810358725393,27.443326274703775,32.74046480452719,44.72567980836121,45.32669868088079,27.158967857121315,16.791894203606127,26.472499822821412,51.05948880501998,56.228055150456626,76.10045786670989,83.17263344490452
DOM,Dominican Republic,216.0,110.59471582866489,68.88916134767416,92.87849536219922,201.43369968966869,268.03233351207643,296.3943475148525,444.81857631862266,24.49860369550593,19.30052431936994,17.74308779189596,48.08706480574683,68.38923058297664,89.00747384090528,131.88595649607103,41.45633975479487,30.42676591380491,31.860156778768072,86.3486580928404,103.7090628894539,129.47623128263362,168.0566550710375,51.820787471658996,36.112656748748144,39.71430930428191,106.49849762298958,128.87393997658916,159.2316932651433,192.9524700143585,13.357858761962056,8.810549116704046,10.212815602826268,27.250020702069175,30.550349460686583,40.02164795275102,56.64329167631037,21.79301141641834,16.15724390062453,15.897928348611586,42.17977617716228,59.82460707892101,73.04547435296625,97.8328852504836
HTI,Haiti,216.0,104.69041461402185,63.869488713131155,94.72143815580415,181.80571412955493,231.124674547741,287.03771369162166,328.3075807785724,21.873376727270145,18.417236693085773,14.54813391982015,48.526479260642176,66.01939975053864,79.00532361808703,107.96394726178627,38.79466201834416,32.53991969228014,28.99932401097322,86.47285624193456,118.47507789382325,147.76067416149084,182.12617941009768,47.96777714974937,36.47746618577012,39.619075157404,98.74813681882716,130.56935324069002,155.83694270110087,210.59742722440663,12.128472728816801,8.741215575896236,9.83447443133353,24.731446581284935,31.3208082153075,38.74868621198124,55.34062292663667,19.5271753887553,15.625099046334974,14.09887513174641,42.69074957490103,58.964042480501334,68.12058817046862,81.07996260646019
JAM,Jamaica,216.0,96.49181192069891,76.13591122738443,71.17596912478771,195.819779953542,254.75122179840838,363.8232335304479,443.0163125434042,23.624754659233826,21.361128580019784,16.111920684683056,50.51257219631651,77.64527386404257,94.94629909041419,111.87386661297874,41.11163055648389,38.301658813612384,29.207117588625493,89.60719039552949,124.83740965919557,177.1809659551407,200.45122334795792,52.60710655595702,47.80418040475826,37.63830290328028,117.3390214864966,157.02058345557765,236.35928975957643,261.9541237834813,12.318394608018439,10.564247769120255,8.944301796922655,24.625319791342537,34.158972077836125,54.41256953854059,67.15914511772966,20.82006569558416,18.213116477655447,14.4293690120126,42.412037759647376,67.08224253941437,82.89819880459684,96.70985971053524
TTO,Trinidad and Tobago,216.0,141.24815111432997,91.17026623383673,138.08749306929468,250.01016962516246,296.01324170800774,450.19578534309255,462.29326910922606,33.0115215528576,21.093525345794593,30.681851169389525,57.136077216202935,69.72792884776129,99.92985244816518,153.74530954910412,51.55256657239078,30.029491752619045,48.37904180808787,88.91375173257647,106.85279013048442,132.13486726246214,162.4099026342719,64.19612368678375,37.02873852787632,64.20661055266552,109.76710912924896,131.44837691411556,171.24755243218257,185.65965658611367,18.85769769026614,11.903982766378153,18.39082915818242,32.11666699218634,38.44232123187831,59.799633928800226,66.33743138536784,29.56305273783433,17.624524607764215,27.979202145820665,52.75492646582879,58.817404594893006,83.83077720124079,109.95591714889304
