SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2010244N12328,GASTON,2010,Saint Kitts and Nevis,KNA,2010,9,2010-09,2010-09-07 12:00:00+00:00,2010-09-07 12:00:00+00:00,1,25.0,12.8611
2011233N15301,IRENE,2011,Saint Kitts and Nevis,KNA,2011,8,2011-08,2011-08-21 15:00:00+00:00,2011-08-21 15:00:00+00:00,1,48.0,24.693312
2014285N16305,GONZALO,2014,Saint Kitts and Nevis,KNA,2014,10,2014-10,2014-10-13 18:00:00+00:00,2014-10-13 18:00:00+00:00,1,70.0,36.01108
2020233N14313,LAURA,2020,Saint Kitts and Nevis,KNA,2020,8,2020-08,2020-08-21 23:30:00+00:00,2020-08-22 00:00:00+00:00,2,40.0,20.57776
2024225N14313,ERNESTO,2024,Saint Kitts and Nevis,KNA,2024,8,2024-08,2024-08-13 15:00:00+00:00,2024-08-13 15:00:00+00:00,1,44.0,22.635536000000002
