SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2007297N18300,NOEL,2007,British Virgin Islands,VGB,2007,10,2007-10,2007-10-25 18:00:00+00:00,2007-10-26 03:00:00+00:00,4,25.0,12.8611
2007345N18298,OLGA,2007,British Virgin Islands,VGB,2007,12,2007-12,2007-12-11 00:00:00+00:00,2007-12-11 00:00:00+00:00,1,35.0,18.00554
2010236N12341,EARL,2010,British Virgin Islands,VGB,2010,8,2010-08,2010-08-30 18:00:00+00:00,2010-08-30 18:00:00+00:00,1,115.0,59.16106
2011250N12324,MARIA,2011,British Virgin Islands,VGB,2011,9,2011-09,2011-09-11 12:00:00+00:00,2011-09-11 12:00:00+00:00,1,50.0,25.7222
2017242N16333,IRMA,2017,British Virgin Islands,VGB,2017,9,2017-09,2017-09-06 15:00:00+00:00,2017-09-06 18:00:00+00:00,3,155.0,79.73882
2019236N10314,DORIAN,2019,British Virgin Islands,VGB,2019,8,2019-08,2019-08-28 18:00:00+00:00,2019-08-28 18:00:00+00:00,1,70.0,36.01108
2019265N12301,KAREN,2019,British Virgin Islands,VGB,2019,9,2019-09,2019-09-25 00:00:00+00:00,2019-09-25 00:00:00+00:00,1,40.0,20.57776
2023266N16323,PHILIPPE,2023,British Virgin Islands,VGB,2023,10,2023-10,2023-10-03 15:00:00+00:00,2023-10-03 18:00:00+00:00,2,40.0,20.57776
2024225N14313,ERNESTO,2024,British Virgin Islands,VGB,2024,8,2024-08,2024-08-13 23:30:00+00:00,2024-08-14 00:00:00+00:00,2,55.0,28.294420000000002
