SID,NAME,SEASON,ISO_TIME,year,month,year_month,country,iso_a3,best_wind_kt,best_wind_mps,LAT,LON
2007244N12303,FELIX,2007,2007-09-01 08:45:00+00:00,2007,9,2007-09,Grenada,GRD,45.0,23.14998,12.1,-61.7
2007244N12303,FELIX,2007,2007-09-01 09:00:00+00:00,2007,9,2007-09,Grenada,GRD,45.0,23.14998,12.1,-61.8
2019265N12301,KAREN,2019,2019-09-22 15:00:00+00:00,2019,9,2019-09,Grenada,GRD,35.0,18.00554,12.3,-61.7
2023232N13300,FRANKLIN,2023,2023-08-19 21:00:00+00:00,2023,8,2023-08,Grenada,GRD,25.0,12.8611,12.9,-61.3
2024181N09320,BERYL,2024,2024-07-01 15:00:00+00:00,2024,7,2024-07,Grenada,GRD,119.0,61.218836,12.5,-61.4
2024181N09320,BERYL,2024,2024-07-01 15:20:00+00:00,2024,7,2024-07,Grenada,GRD,120.0,61.73328,12.5,-61.5
