SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2021182N09317,ELSA,2021,Jamaica,JAM,2021,7,2021-07,2021-07-04 09:00:00+00:00,2021-07-04 12:00:00+00:00,2,53.0,27.265532
2021225N15313,GRACE,2021,Jamaica,JAM,2021,8,2021-08,2021-08-17 12:00:00+00:00,2021-08-18 00:00:00+00:00,6,50.0,25.7222
2023321N15278,UNNAMED,2023,Jamaica,JAM,2023,11,2023-11,2023-11-17 18:00:00+00:00,2023-11-17 21:00:00+00:00,2,30.0,15.43332
2024181N09320,BERYL,2024,Jamaica,JAM,2024,7,2024-07,2024-07-03 21:00:00+00:00,2024-07-04 00:00:00+00:00,2,118.0,60.704392
2024309N13283,RAFAEL,2024,Jamaica,JAM,2024,11,2024-11,2024-11-05 15:00:00+00:00,2024-11-05 15:00:00+00:00,1,55.0,28.294420000000002
