SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2007345N18298,OLGA,2007,Anguilla,AIA,2007,12,2007-12,2007-12-10 15:00:00+00:00,2007-12-10 18:00:00+00:00,2,35.0,18.00554
2010236N12341,EARL,2010,Anguilla,AIA,2010,8,2010-08,2010-08-30 09:00:00+00:00,2010-08-30 15:00:00+00:00,3,110.0,56.588840000000005
2011250N12324,MARIA,2011,Anguilla,AIA,2011,9,2011-09,2011-09-11 00:00:00+00:00,2011-09-11 06:00:00+00:00,3,50.0,25.7222
2012287N15297,RAFAEL,2012,Anguilla,AIA,2012,10,2012-10,2012-10-14 00:00:00+00:00,2012-10-14 06:00:00+00:00,3,45.0,23.14998
2014285N16305,GONZALO,2014,Anguilla,AIA,2014,10,2014-10,2014-10-13 22:45:00+00:00,2014-10-14 03:00:00+00:00,4,85.0,43.727740000000004
2017242N16333,IRMA,2017,Anguilla,AIA,2017,9,2017-09,2017-09-06 11:15:00+00:00,2017-09-06 12:00:00+00:00,2,155.0,79.73882
2023266N16323,PHILIPPE,2023,Anguilla,AIA,2023,10,2023-10,2023-10-03 06:00:00+00:00,2023-10-03 12:00:00+00:00,3,45.0,23.14998
2023292N13309,TAMMY,2023,Anguilla,AIA,2023,10,2023-10,2023-10-22 09:00:00+00:00,2023-10-22 12:00:00+00:00,2,75.0,38.5833
