iso3,country,year,month,year_month,date,n_storms,storm_names,storm_ids,n_track_points_near_country,monthly_max_wind_kt,monthly_max_wind_mps
DOM,Dominican Republic,2020,8,2020-08,2020-08-01,1,LAURA,2020233N14313,6,45.0,23.14998
DOM,Dominican Republic,2020,9,2020-09,2020-09-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2020,10,2020-10,2020-10-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2020,11,2020-11,2020-11-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2020,12,2020-12,2020-12-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,1,2021-01,2021-01-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,2,2021-02,2021-02-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,3,2021-03,2021-03-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,4,2021-04,2021-04-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,5,2021-05,2021-05-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,6,2021-06,2021-06-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,7,2021-07,2021-07-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,8,2021-08,2021-08-01,2,FRED | GRACE,2021222N14301 | 2021225N15313,9,40.0,20.57776
DOM,Dominican Republic,2021,9,2021-09,2021-09-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,10,2021-10,2021-10-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,11,2021-11,2021-11-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2021,12,2021-12,2021-12-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,1,2022-01,2022-01-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,2,2022-02,2022-02-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,3,2022-03,2022-03-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,4,2022-04,2022-04-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,5,2022-05,2022-05-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,6,2022-06,2022-06-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,7,2022-07,2022-07-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,8,2022-08,2022-08-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,9,2022-09,2022-09-01,1,FIONA,2022257N16312,7,90.0,46.29996
DOM,Dominican Republic,2022,10,2022-10,2022-10-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,11,2022-11,2022-11-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2022,12,2022-12,2022-12-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,1,2023-01,2023-01-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,2,2023-02,2023-02-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,3,2023-03,2023-03-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,4,2023-04,2023-04-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,5,2023-05,2023-05-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,6,2023-06,2023-06-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,7,2023-07,2023-07-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,8,2023-08,2023-08-01,1,FRANKLIN,2023232N13300,7,40.0,20.57776
DOM,Dominican Republic,2023,9,2023-09,2023-09-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,10,2023-10,2023-10-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,11,2023-11,2023-11-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2023,12,2023-12,2023-12-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,1,2024-01,2024-01-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,2,2024-02,2024-02-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,3,2024-03,2024-03-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,4,2024-04,2024-04-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,5,2024-05,2024-05-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,6,2024-06,2024-06-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,7,2024-07,2024-07-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,8,2024-08,2024-08-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,9,2024-09,2024-09-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,10,2024-10,2024-10-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,11,2024-11,2024-11-01,0,,,0,0.0,0.0
DOM,Dominican Republic,2024,12,2024-12,2024-12-01,0,,,0,0.0,0.0
