SID,NAME,SEASON,country,iso_a3,year,month,year_month,first_hit_time,last_hit_time,n_track_points,max_wind_kt,max_wind_mps
2013248N16294,GABRIELLE,2013,Bermuda,BMU,2013,9,2013-09,2013-09-11 00:00:00+00:00,2013-09-11 03:00:00+00:00,2,50.0,25.7222
2014283N22299,FAY,2014,Bermuda,BMU,2014,10,2014-10,2014-10-12 08:10:00+00:00,2014-10-12 09:00:00+00:00,2,70.0,36.01108
2014285N16305,GONZALO,2014,Bermuda,BMU,2014,10,2014-10,2014-10-18 00:00:00+00:00,2014-10-18 00:30:00+00:00,2,95.0,48.87218
2016278N23300,NICOLE,2016,Bermuda,BMU,2016,10,2016-10,2016-10-13 15:00:00+00:00,2016-10-13 15:00:00+00:00,1,105.0,54.01662
2019260N13317,JERRY,2019,Bermuda,BMU,2019,9,2019-09,2019-09-26 00:00:00+00:00,2019-09-26 03:00:00+00:00,2,25.0,12.8611
2020251N17319,PAULETTE,2020,Bermuda,BMU,2020,9,2020-09,2020-09-14 08:50:00+00:00,2020-09-14 09:00:00+00:00,2,85.0,43.727740000000004
2024225N14313,ERNESTO,2024,Bermuda,BMU,2024,8,2024-08,2024-08-17 06:00:00+00:00,2024-08-17 12:00:00+00:00,4,75.0,38.5833
