iso3,country,year,month,year_month,date,n_eq_nearby,monthly_max_mag_nearby,monthly_sum_shake_proxy,monthly_max_shake_proxy,monthly_min_dist_km
GRD,Grenada,2007,1,2007-01,2007-01-01,0,,0.0,0.0,
GRD,Grenada,2007,2,2007-02,2007-02-01,1,4.9,144.04349336974408,144.04349336974408,134.24363731472036
GRD,Grenada,2007,3,2007-03,2007-03-01,2,4.7,169.7339930905091,89.28640489147703,137.79344476017698
GRD,Grenada,2007,4,2007-04,2007-04-01,1,4.6,84.39489932117645,84.39489932117645,172.0877497387707
GRD,Grenada,2007,5,2007-05,2007-05-01,1,4.5,20.172628345896516,20.172628345896516,435.2979612194712
GRD,Grenada,2007,6,2007-06,2007-06-01,0,,0.0,0.0,
GRD,Grenada,2007,7,2007-07,2007-07-01,2,4.9,140.19648521079404,121.44129163559975,168.38050564932652
GRD,Grenada,2007,8,2007-08,2007-08-01,1,4.5,30.753492634097174,30.753492634097174,350.9625779674642
GRD,Grenada,2007,9,2007-09,2007-09-01,1,5.0,101.43628632339151,101.43628632339151,227.40637041087263
GRD,Grenada,2007,10,2007-10,2007-10-01,0,,0.0,0.0,
GRD,Grenada,2007,11,2007-11,2007-11-01,7,7.4,1601.9308236335871,1253.1943208998398,277.2227633378462
GRD,Grenada,2007,12,2007-12,2007-12-01,5,5.2,363.59551341908,121.75510184901378,167.86436248933185
GRD,Grenada,2008,1,2008-01,2008-01-01,0,,0.0,0.0,
GRD,Grenada,2008,2,2008-02,2008-02-01,3,5.3,238.07893738323656,97.00008296082251,198.46313999046234
GRD,Grenada,2008,3,2008-03,2008-03-01,3,4.7,255.32555679614492,96.04941206174676,146.21658917183385
GRD,Grenada,2008,4,2008-04,2008-04-01,0,,0.0,0.0,
GRD,Grenada,2008,5,2008-05,2008-05-01,1,4.6,28.415291551648355,28.415291551648355,389.8036557412034
GRD,Grenada,2008,6,2008-06,2008-06-01,2,5.2,265.0867398387001,218.66839260823718,119.83296970284287
GRD,Grenada,2008,7,2008-07,2008-07-01,2,5.8,303.84258303442414,239.34693693213487,225.8695989306097
GRD,Grenada,2008,8,2008-08,2008-08-01,2,5.2,181.88557256904164,99.32301646944597,208.59122928757907
GRD,Grenada,2008,9,2008-09,2008-09-01,1,4.7,87.37207969801395,87.37207969801395,188.1798382334063
GRD,Grenada,2008,10,2008-10,2008-10-01,0,,0.0,0.0,
GRD,Grenada,2008,11,2008-11,2008-11-01,0,,0.0,0.0,
GRD,Grenada,2008,12,2008-12,2008-12-01,2,4.9,176.55389644073546,144.11234149346168,134.14806663150256
GRD,Grenada,2009,1,2009-01,2009-01-01,0,,0.0,0.0,
GRD,Grenada,2009,2,2009-02,2009-02-01,1,4.5,21.935977206436146,21.935977206436146,418.5376751022174
GRD,Grenada,2009,3,2009-03,2009-03-01,1,4.5,63.15547863981537,63.15547863981537,207.04337164565555
GRD,Grenada,2009,4,2009-04,2009-04-01,2,4.9,178.97834860189786,98.72690945970665,182.15620376019007
GRD,Grenada,2009,5,2009-05,2009-05-01,2,4.6,84.91455694544925,42.64544971979444,308.60502690158705
GRD,Grenada,2009,6,2009-06,2009-06-01,0,,0.0,0.0,
GRD,Grenada,2009,7,2009-07,2009-07-01,0,,0.0,0.0,
GRD,Grenada,2009,8,2009-08,2009-08-01,0,,0.0,0.0,
GRD,Grenada,2009,9,2009-09,2009-09-01,1,4.8,105.50956439858238,105.50956439858238,173.48052331445817
GRD,Grenada,2009,10,2009-10,2009-10-01,1,4.6,32.31751204998949,32.31751204998949,364.06729236954675
GRD,Grenada,2009,11,2009-11,2009-11-01,3,5.2,302.4869308215461,125.04677300794407,231.60667808161267
GRD,Grenada,2009,12,2009-12,2009-12-01,1,4.9,66.47233553526567,66.47233553526567,288.9095247434006
GRD,Grenada,2010,1,2010-01,2010-01-01,4,5.6,377.6156127413246,174.1553491654979,148.58900731667362
GRD,Grenada,2010,2,2010-02,2010-02-01,0,,0.0,0.0,
GRD,Grenada,2010,3,2010-03,2010-03-01,0,,0.0,0.0,
GRD,Grenada,2010,4,2010-04,2010-04-01,1,4.6,74.78690478826046,74.78690478826046,196.26058278160397
GRD,Grenada,2010,5,2010-05,2010-05-01,2,5.2,142.26429523876055,103.27160021531232,131.71666017423954
GRD,Grenada,2010,6,2010-06,2010-06-01,1,4.5,39.79609477017416,39.79609477017416,299.40953462256675
GRD,Grenada,2010,7,2010-07,2010-07-01,1,5.0,115.7101892932623,115.7101892932623,201.07480713398348
GRD,Grenada,2010,8,2010-08,2010-08-01,3,5.2,306.44085595242217,234.40843138767977,105.93124292892227
GRD,Grenada,2010,9,2010-09,2010-09-01,0,,0.0,0.0,
GRD,Grenada,2010,10,2010-10,2010-10-01,1,4.5,35.9736316290277,35.9736316290277,319.606048781152
GRD,Grenada,2010,11,2010-11,2010-11-01,0,,0.0,0.0,
GRD,Grenada,2010,12,2010-12,2010-12-01,1,5.0,153.74744203038185,153.74744203038185,144.23029262753104
