iso3,country,year,month,year_month,date,n_storms,storm_names,storm_ids,n_track_points_near_country,monthly_max_wind_kt,monthly_max_wind_mps
AIA,Anguilla,2007,1,2007-01,2007-01-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,2,2007-02,2007-02-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,3,2007-03,2007-03-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,4,2007-04,2007-04-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,5,2007-05,2007-05-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,6,2007-06,2007-06-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,7,2007-07,2007-07-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,8,2007-08,2007-08-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,9,2007-09,2007-09-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,10,2007-10,2007-10-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,11,2007-11,2007-11-01,0,,,0,0.0,0.0
AIA,Anguilla,2007,12,2007-12,2007-12-01,1,OLGA,2007345N18298,2,35.0,18.00554
AIA,Anguilla,2008,1,2008-01,2008-01-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,2,2008-02,2008-02-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,3,2008-03,2008-03-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,4,2008-04,2008-04-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,5,2008-05,2008-05-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,6,2008-06,2008-06-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,7,2008-07,2008-07-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,8,2008-08,2008-08-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,9,2008-09,2008-09-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,10,2008-10,2008-10-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,11,2008-11,2008-11-01,0,,,0,0.0,0.0
AIA,Anguilla,2008,12,2008-12,2008-12-01,0,,,0,0.0,0.0
AIA,Anguilla,2009,1,2009-01,2009-01-01,0,,,0,0.0,0.0
AIA,Anguilla,2009,2,2009-02,2009-02-01,0,,,0,0.0,0.0
AIA,Anguilla,2009,3,2009-03,2009-03-01,0,,,0,0.0,0.0
AIA,Anguilla,2009,4,2009-04,2009-04-01,0,,,0,0.0,0.0
AIA,Anguilla,2009,5,2009-05,2009-05-01,0,,,0,0.0,0.0
AIA,Anguilla,2009,6,2009-06,2009-06-01,0,,,0,0.0,0.0
