country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm
Trinidad and Tobago,2023,1,2023-01,140.03796643929044,46.108414331208984,103.10390838229085,121.75226537979859
Trinidad and Tobago,2023,2,2023-02,91.63683647877943,14.921971200261684,28.36739494906848,39.19137095583884
Trinidad and Tobago,2023,3,2023-03,31.736221738394107,9.175416877361382,12.386147271085477,16.344328665982008
Trinidad and Tobago,2023,4,2023-04,118.49564783902083,49.75714486189946,86.92237797140534,109.66815552229914
Trinidad and Tobago,2023,5,2023-05,96.53141968667583,34.722245973818374,44.31845014282643,46.06888474487299
Trinidad and Tobago,2023,6,2023-06,244.3489599222281,58.82150261779059,116.21988701010957,126.68354018050827
Trinidad and Tobago,2023,7,2023-07,223.46721207795994,39.23686207213175,77.58642540824447,88.67568537388253
Trinidad and Tobago,2023,8,2023-08,207.73934318675043,40.05230609122494,78.17456530859252,115.93277202999732
Trinidad and Tobago,2023,9,2023-09,115.79606531304276,29.500417268205005,45.511623435105555,67.62189315451141
Trinidad and Tobago,2023,10,2023-10,123.31499993993143,25.95663380160247,40.916833492658306,49.71388594226227
Trinidad and Tobago,2023,11,2023-11,249.4262945052889,62.24090846541563,86.9910068609254,120.41062999902461
Trinidad and Tobago,2023,12,2023-12,98.56520893168394,19.669961534783543,43.48851738287997,56.30341247987719
