country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm,date
Trinidad and Tobago,2017,1,2017-01,144.30181127805727,84.85829424788142,91.20259554779902,98.7089803791329,2017-01-01
Trinidad and Tobago,2017,2,2017-02,55.62114004653242,15.855629663340732,36.902121931628514,37.53052326561738,2017-02-01
Trinidad and Tobago,2017,3,2017-03,58.54299190330207,10.588134085917854,17.320951210092556,17.320951210092556,2017-03-01
Trinidad and Tobago,2017,4,2017-04,24.257490207192486,7.793161850461336,7.831542371125981,9.11299058489921,2017-04-01
Trinidad and Tobago,2017,5,2017-05,76.76949730645548,21.49371751582773,29.9135639781152,43.86684026565544,2017-05-01
Trinidad and Tobago,2017,6,2017-06,345.24275271073094,63.38394136822549,105.51608608508265,127.7721079652966,2017-06-01
Trinidad and Tobago,2017,7,2017-07,164.3829504108471,41.687063085086734,42.92033383586933,45.69183712221093,2017-07-01
Trinidad and Tobago,2017,8,2017-08,334.5013012398533,73.86278856948488,90.5709441226497,138.17660388554702,2017-08-01
Trinidad and Tobago,2017,9,2017-09,236.97701148779888,34.375836624965544,60.4205326160869,74.89598117482618,2017-09-01
Trinidad and Tobago,2017,10,2017-10,277.91722325386496,36.03927343263429,78.52449066479191,89.29985577828761,2017-10-01
Trinidad and Tobago,2017,11,2017-11,172.65436499607853,59.33539393997736,70.17692532255565,85.1291683210093,2017-11-01
Trinidad and Tobago,2017,12,2017-12,221.35765676686566,116.9738537764928,182.61344788945297,182.61344788945297,2017-12-01
Trinidad and Tobago,2018,1,2018-01,152.32301849257283,26.152945297052156,43.253384891017916,43.841871787290245,2018-01-01
Trinidad and Tobago,2018,2,2018-02,64.50993263045042,10.230723580663497,15.584230206417933,26.608593019632345,2018-02-01
Trinidad and Tobago,2018,3,2018-03,119.88750544439188,53.211812864807975,65.1578894418217,68.40989219521676,2018-03-01
Trinidad and Tobago,2018,4,2018-04,36.4571682934826,7.275449529400014,54.72311643338401,67.13286420987728,2018-04-01
Trinidad and Tobago,2018,5,2018-05,51.03450006843814,26.536869073036364,27.664700274540724,27.89805973793529,2018-05-01
Trinidad and Tobago,2018,6,2018-06,145.5697235893491,22.194135825002625,60.517777658020634,91.0169921026556,2018-06-01
Trinidad and Tobago,2018,7,2018-07,215.8375344868719,41.91954710469015,74.66531699385041,84.68822868255296,2018-07-01
Trinidad and Tobago,2018,8,2018-08,308.318742588112,62.72807882277382,97.11681218341525,101.02928689875137,2018-08-01
Trinidad and Tobago,2018,9,2018-09,204.63090056222947,38.20883963753242,63.715336439754445,87.9442972472636,2018-09-01
Trinidad and Tobago,2018,10,2018-10,322.68008250822186,65.68564021520453,146.3944660830123,187.19245136558393,2018-10-01
Trinidad and Tobago,2018,11,2018-11,198.07252136623782,68.64970496681737,104.63315551535277,127.31189096046633,2018-11-01
Trinidad and Tobago,2018,12,2018-12,66.66798273052898,9.671996366236025,16.923100031502493,23.51410578493114,2018-12-01
Trinidad and Tobago,2019,1,2019-01,36.66073662184405,8.186537569008642,11.452493594167002,14.829588884907327,2019-01-01
Trinidad and Tobago,2019,2,2019-02,66.986529600016,15.013308172369335,16.226791210146455,26.772918021764763,2019-02-01
Trinidad and Tobago,2019,3,2019-03,56.607894005523676,38.67767956931808,41.379027745918386,43.85500136338576,2019-03-01
Trinidad and Tobago,2019,4,2019-04,53.03801166896978,24.196290063234827,31.658321536850483,32.70733893258519,2019-04-01
Trinidad and Tobago,2019,5,2019-05,28.980261632351333,11.985505168738795,17.126874850669765,21.130226404867784,2019-05-01
Trinidad and Tobago,2019,6,2019-06,192.37499308452774,33.5471469402281,73.25495220835329,95.13889110677192,2019-06-01
Trinidad and Tobago,2019,7,2019-07,198.42312116017212,64.94973121674954,86.65459100653416,92.92858069012134,2019-07-01
Trinidad and Tobago,2019,8,2019-08,164.09722052383376,27.248107044178727,50.06833096964827,73.76767904164211,2019-08-01
Trinidad and Tobago,2019,9,2019-09,197.72888308631633,79.79676997146123,101.41690560215403,107.21579008809358,2019-09-01
Trinidad and Tobago,2019,10,2019-10,181.9416294264417,35.87579103611794,56.526486157779175,61.74110436850056,2019-10-01
Trinidad and Tobago,2019,11,2019-11,277.6216422206529,46.156189573409804,74.65493551525581,93.3431435433255,2019-11-01
Trinidad and Tobago,2019,12,2019-12,159.6515542098899,133.0255555921139,135.0638335013095,135.66604591833686,2019-12-01
Trinidad and Tobago,2020,1,2020-01,87.2553541177,19.69591027129882,28.279081712661306,31.65176530544915,2020-01-01
Trinidad and Tobago,2020,2,2020-02,62.87303154961915,12.825173608304944,21.619975864488588,30.967849135656024,2020-02-01
Trinidad and Tobago,2020,3,2020-03,38.58096479905218,11.386769765736126,14.165937224289603,14.639092959702314,2020-03-01
Trinidad and Tobago,2020,4,2020-04,38.70788640956772,27.293935166836008,28.0203185996448,32.36799916482532,2020-04-01
Trinidad and Tobago,2020,5,2020-05,39.39169666764438,19.649259195005182,23.16915857756549,37.00456955391735,2020-05-01
Trinidad and Tobago,2020,6,2020-06,206.3977413817371,47.46050432889748,54.76482404257759,67.66459053220731,2020-06-01
Trinidad and Tobago,2020,7,2020-07,165.3359140855742,38.42564340815093,51.78494578685316,90.99684254696834,2020-07-01
Trinidad and Tobago,2020,8,2020-08,505.92177702641527,74.86683349626483,135.0074696089637,194.58074011739998,2020-08-01
Trinidad and Tobago,2020,9,2020-09,210.94232833232485,45.41107523594246,76.56296551009608,122.40243106232026,2020-09-01
Trinidad and Tobago,2020,10,2020-10,239.4560500701678,29.055719088072593,69.60771149337486,85.23125251778224,2020-10-01
Trinidad and Tobago,2020,11,2020-11,218.24732932955413,43.236650849777796,71.67013782428512,99.7689709301979,2020-11-01
Trinidad and Tobago,2020,12,2020-12,75.48318271300154,12.643939878334162,27.32471417222432,27.32471417222432,2020-12-01
