country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm
Trinidad and Tobago,2020,1,2020-01,87.2553541177,19.69591027129882,28.279081712661306,31.65176530544915
Trinidad and Tobago,2020,2,2020-02,62.87303154961915,12.825173608304944,21.619975864488588,30.967849135656024
Trinidad and Tobago,2020,3,2020-03,38.58096479905218,11.386769765736126,14.165937224289603,14.639092959702314
Trinidad and Tobago,2020,4,2020-04,38.70788640956772,27.293935166836008,28.0203185996448,32.36799916482532
Trinidad and Tobago,2020,5,2020-05,39.39169666764438,19.649259195005182,23.16915857756549,37.00456955391735
Trinidad and Tobago,2020,6,2020-06,206.3977413817371,47.46050432889748,54.76482404257759,67.66459053220731
Trinidad and Tobago,2020,7,2020-07,165.3359140855742,38.42564340815093,51.78494578685316,90.99684254696834
Trinidad and Tobago,2020,8,2020-08,505.92177702641527,74.86683349626483,135.0074696089637,194.58074011739998
Trinidad and Tobago,2020,9,2020-09,210.94232833232485,45.41107523594246,76.56296551009608,122.40243106232026
Trinidad and Tobago,2020,10,2020-10,239.4560500701678,29.055719088072593,69.60771149337486,85.23125251778224
Trinidad and Tobago,2020,11,2020-11,218.24732932955413,43.236650849777796,71.67013782428512,99.7689709301979
Trinidad and Tobago,2020,12,2020-12,75.48318271300154,12.643939878334162,27.32471417222432,27.32471417222432
