country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm
Trinidad and Tobago,2017,1,2017-01,144.30181127805727,84.85829424788142,91.20259554779902,98.7089803791329
Trinidad and Tobago,2017,2,2017-02,55.62114004653242,15.855629663340732,36.902121931628514,37.53052326561738
Trinidad and Tobago,2017,3,2017-03,58.54299190330207,10.588134085917854,17.320951210092556,17.320951210092556
Trinidad and Tobago,2017,4,2017-04,24.257490207192486,7.793161850461336,7.831542371125981,9.11299058489921
Trinidad and Tobago,2017,5,2017-05,76.76949730645548,21.49371751582773,29.9135639781152,43.86684026565544
Trinidad and Tobago,2017,6,2017-06,345.24275271073094,63.38394136822549,105.51608608508265,127.7721079652966
Trinidad and Tobago,2017,7,2017-07,164.3829504108471,41.687063085086734,42.92033383586933,45.69183712221093
Trinidad and Tobago,2017,8,2017-08,334.5013012398533,73.86278856948488,90.5709441226497,138.17660388554702
Trinidad and Tobago,2017,9,2017-09,236.97701148779888,34.375836624965544,60.4205326160869,74.89598117482618
Trinidad and Tobago,2017,10,2017-10,277.91722325386496,36.03927343263429,78.52449066479191,89.29985577828761
Trinidad and Tobago,2017,11,2017-11,172.65436499607853,59.33539393997736,70.17692532255565,85.1291683210093
Trinidad and Tobago,2017,12,2017-12,221.35765676686566,116.9738537764928,182.61344788945297,182.61344788945297
