country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm
Trinidad and Tobago,2021,1,2021-01,80.72716335319657,25.794582465866156,31.961652670185753,44.86371856984578
Trinidad and Tobago,2021,2,2021-02,55.202075881688415,12.332434075356925,17.10513844853314,24.9594362369687
Trinidad and Tobago,2021,3,2021-03,135.68832429868058,61.49751335636908,86.37134989949487,108.47926961905695
Trinidad and Tobago,2021,4,2021-04,64.48028869362133,25.879984602883784,39.25172079855597,45.77623180626429
Trinidad and Tobago,2021,5,2021-05,133.57588475542153,44.713069837723914,68.40320542799272,84.79952935967171
Trinidad and Tobago,2021,6,2021-06,270.4286170325276,40.39917537816944,79.19613843631478,94.89574490114364
Trinidad and Tobago,2021,7,2021-07,337.10246741503914,64.16423357630767,83.62818612202261,128.73319159289377
Trinidad and Tobago,2021,8,2021-08,486.2105522387904,80.05070467955652,115.12298763987306,169.3152599076431
Trinidad and Tobago,2021,9,2021-09,131.59774148162538,32.661262532438535,65.0307842188882,68.8098492985037
Trinidad and Tobago,2021,10,2021-10,225.68427226295637,35.27681337671232,58.017969238095795,79.35552858506792
Trinidad and Tobago,2021,11,2021-11,65.2341241750617,21.94478553794764,27.062492960054215,48.610281623113835
Trinidad and Tobago,2021,12,2021-12,221.12713447852735,67.50867498857316,100.45423951556127,111.55492361632074
