country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm
Trinidad and Tobago,2018,1,2018-01,152.32301849257283,26.152945297052156,43.253384891017916,43.841871787290245
Trinidad and Tobago,2018,2,2018-02,64.50993263045042,10.230723580663497,15.584230206417933,26.608593019632345
Trinidad and Tobago,2018,3,2018-03,119.88750544439188,53.211812864807975,65.1578894418217,68.40989219521676
Trinidad and Tobago,2018,4,2018-04,36.4571682934826,7.275449529400014,54.72311643338401,67.13286420987728
Trinidad and Tobago,2018,5,2018-05,51.03450006843814,26.536869073036364,27.664700274540724,27.89805973793529
Trinidad and Tobago,2018,6,2018-06,145.5697235893491,22.194135825002625,60.517777658020634,91.0169921026556
Trinidad and Tobago,2018,7,2018-07,215.8375344868719,41.91954710469015,74.66531699385041,84.68822868255296
Trinidad and Tobago,2018,8,2018-08,308.318742588112,62.72807882277382,97.11681218341525,101.02928689875137
Trinidad and Tobago,2018,9,2018-09,204.63090056222947,38.20883963753242,63.715336439754445,87.9442972472636
Trinidad and Tobago,2018,10,2018-10,322.68008250822186,65.68564021520453,146.3944660830123,187.19245136558393
Trinidad and Tobago,2018,11,2018-11,198.07252136623782,68.64970496681737,104.63315551535277,127.31189096046633
Trinidad and Tobago,2018,12,2018-12,66.66798273052898,9.671996366236025,16.923100031502493,23.51410578493114
