country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm
Trinidad and Tobago,2024,1,2024-01,79.86438823957504,12.750352622853086,21.094052447811663,28.38632072530243
Trinidad and Tobago,2024,2,2024-02,38.39114917499537,10.01530916016316,10.373626873537399,19.928078407923074
Trinidad and Tobago,2024,3,2024-03,58.90607705544334,18.4250751344131,27.303080853276096,27.303080853276096
Trinidad and Tobago,2024,4,2024-04,61.01331880870737,25.54592492802629,42.939471217318285,53.95693311561727
Trinidad and Tobago,2024,5,2024-05,102.27291492955679,29.374050782312292,31.380861684754763,31.488625599479573
Trinidad and Tobago,2024,6,2024-06,259.6471946973541,39.4092512152749,63.01296488936854,86.10315492844886
Trinidad and Tobago,2024,7,2024-07,193.1208769841864,31.93996473890889,70.14771933490353,94.59700831342018
Trinidad and Tobago,2024,8,2024-08,246.69211375714534,56.71521722849989,64.49252793336744,81.10951012846596
Trinidad and Tobago,2024,9,2024-09,210.92121444298604,51.733335110345244,72.84700066731537,86.35074885960938
Trinidad and Tobago,2024,10,2024-10,171.17033009399188,20.221979595062198,39.66641546648439,58.96908768762118
Trinidad and Tobago,2024,11,2024-11,283.86211149254825,54.85930108117134,86.83592910011757,129.78231513458434
Trinidad and Tobago,2024,12,2024-12,162.53953320494844,64.03675860120684,68.39503766859505,70.14775696618808
