country,year,month,year_month,monthly_total_mm,max_1d_mm,max_3d_mm,max_5d_mm
Trinidad and Tobago,2019,1,2019-01,36.66073662184405,8.186537569008642,11.452493594167002,14.829588884907327
Trinidad and Tobago,2019,2,2019-02,66.986529600016,15.013308172369335,16.226791210146455,26.772918021764763
Trinidad and Tobago,2019,3,2019-03,56.607894005523676,38.67767956931808,41.379027745918386,43.85500136338576
Trinidad and Tobago,2019,4,2019-04,53.03801166896978,24.196290063234827,31.658321536850483,32.70733893258519
Trinidad and Tobago,2019,5,2019-05,28.980261632351333,11.985505168738795,17.126874850669765,21.130226404867784
Trinidad and Tobago,2019,6,2019-06,192.37499308452774,33.5471469402281,73.25495220835329,95.13889110677192
Trinidad and Tobago,2019,7,2019-07,198.42312116017212,64.94973121674954,86.65459100653416,92.92858069012134
Trinidad and Tobago,2019,8,2019-08,164.09722052383376,27.248107044178727,50.06833096964827,73.76767904164211
Trinidad and Tobago,2019,9,2019-09,197.72888308631633,79.79676997146123,101.41690560215403,107.21579008809358
Trinidad and Tobago,2019,10,2019-10,181.9416294264417,35.87579103611794,56.526486157779175,61.74110436850056
Trinidad and Tobago,2019,11,2019-11,277.6216422206529,46.156189573409804,74.65493551525581,93.3431435433255
Trinidad and Tobago,2019,12,2019-12,159.6515542098899,133.0255555921139,135.0638335013095,135.66604591833686
