time,precip_mm,rain_1d_mm,rain_3d_mm,rain_5d_mm,year,month,year_month
2024-01-01,0.1329256643776632,0.1329256643776632,,,2024,1,2024-01
2024-01-02,2.3885659129924406,2.3885659129924406,,,2024,1,2024-01
2024-01-03,0.2835716314345324,0.2835716314345324,2.8050632088046363,,2024,1,2024-01
2024-01-04,0.0,0.0,2.672137544426973,,2024,1,2024-01
2024-01-05,0.0,0.0,0.2835716314345324,2.8050632088046363,2024,1,2024-01
2024-01-06,0.0,0.0,0.0,2.672137544426973,2024,1,2024-01
2024-01-07,0.0,0.0,0.0,0.2835716314345324,2024,1,2024-01
2024-01-08,11.247689429549377,11.247689429549377,11.247689429549377,11.247689429549377,2024,1,2024-01
2024-01-09,0.0,0.0,11.247689429549377,11.247689429549377,2024,1,2024-01
2024-01-10,0.6436783933319329,0.6436783933319329,11.89136782288131,11.89136782288131,2024,1,2024-01
2024-01-11,0.0,0.0,0.6436783933319329,11.89136782288131,2024,1,2024-01
2024-01-12,0.0,0.0,0.6436783933319329,11.89136782288131,2024,1,2024-01
2024-01-13,0.0,0.0,0.0,0.6436783933319329,2024,1,2024-01
2024-01-14,12.750352622853086,12.750352622853086,12.750352622853086,13.39403101618502,2024,1,2024-01
2024-01-15,1.7209964120485102,1.7209964120485102,14.471349034901596,14.471349034901596,2024,1,2024-01
2024-01-16,6.622703412910065,6.622703412910065,21.094052447811663,21.094052447811663,2024,1,2024-01
2024-01-17,0.0,0.0,8.343699824958575,21.094052447811663,2024,1,2024-01
2024-01-18,0.0,0.0,6.622703412910065,21.094052447811663,2024,1,2024-01
2024-01-19,7.198784059415296,7.198784059415296,7.198784059415296,15.54248388437387,2024,1,2024-01
2024-01-20,0.03887844475765428,0.03887844475765428,7.23766250417295,13.860365917083016,2024,1,2024-01
2024-01-21,7.672086715833188,7.672086715833188,14.909749220006137,14.909749220006137,2024,1,2024-01
2024-01-22,0.0,0.0,7.710965160590842,14.909749220006137,2024,1,2024-01
2024-01-23,0.0,0.0,7.672086715833188,14.909749220006137,2024,1,2024-01
2024-01-24,0.0,0.0,0.0,7.710965160590842,2024,1,2024-01
2024-01-25,7.786767868144247,7.786767868144247,7.786767868144247,15.458854583977434,2024,1,2024-01
2024-01-26,1.3374042966254607,1.3374042966254607,9.124172164769709,9.124172164769709,2024,1,2024-01
2024-01-27,9.707697026147045,9.707697026147045,18.831869190916755,18.831869190916755,2024,1,2024-01
2024-01-28,6.957395442898293,6.957395442898293,18.0024967656708,25.789264633815048,2024,1,2024-01
2024-01-29,2.5970560914873837,2.5970560914873837,19.262148560532722,28.38632072530243,2024,1,2024-01
2024-01-30,0.7778348147688612,0.7778348147688612,10.332286349154538,21.377387671927043,2024,1,2024-01
2024-01-31,0.0,0.0,3.374890906256245,20.039983375301585,2024,1,2024-01
2024-02-01,9.595792058768538,9.595792058768538,10.373626873537399,19.928078407923074,2024,2,2024-02
2024-02-02,0.0,0.0,9.595792058768538,12.970682965024784,2024,2,2024-02
2024-02-03,0.0,0.0,9.595792058768538,10.373626873537399,2024,2,2024-02
2024-02-04,0.0,0.0,0.0,9.595792058768538,2024,2,2024-02
2024-02-05,0.0,0.0,0.0,9.595792058768538,2024,2,2024-02
2024-02-06,2.0492772891131983,2.0492772891131983,2.0492772891131983,2.0492772891131983,2024,2,2024-02
2024-02-07,5.815858306452383,5.815858306452383,7.865135595565581,7.865135595565581,2024,2,2024-02
2024-02-08,0.0,0.0,7.865135595565581,7.865135595565581,2024,2,2024-02
2024-02-09,0.0,0.0,5.815858306452383,7.865135595565581,2024,2,2024-02
2024-02-10,0.0,0.0,0.0,7.865135595565581,2024,2,2024-02
2024-02-11,0.0,0.0,0.0,5.815858306452383,2024,2,2024-02
2024-02-12,0.08358705131337343,0.08358705131337343,0.08358705131337343,0.08358705131337343,2024,2,2024-02
2024-02-13,1.1018133206409249,1.1018133206409249,1.1854003719542983,1.1854003719542983,2024,2,2024-02
2024-02-14,1.7571579693622734,1.7571579693622734,2.9425583413165715,2.9425583413165715,2024,2,2024-02
2024-02-15,0.0,0.0,2.858971290003198,2.9425583413165715,2024,2,2024-02
2024-02-16,0.0,0.0,1.7571579693622734,2.9425583413165715,2024,2,2024-02
2024-02-17,0.0,0.0,0.0,2.858971290003198,2024,2,2024-02
2024-02-18,0.0,0.0,0.0,1.7571579693622734,2024,2,2024-02
2024-02-19,7.905394429543745,7.905394429543745,7.905394429543745,7.905394429543745,2024,2,2024-02
2024-02-20,0.02200520019240383,0.02200520019240383,7.927399629736149,7.927399629736149,2024,2,2024-02
2024-02-21,0.0,0.0,7.927399629736149,7.927399629736149,2024,2,2024-02
2024-02-22,0.0,0.0,0.02200520019240383,7.927399629736149,2024,2,2024-02
2024-02-23,0.0,0.0,0.0,7.927399629736149,2024,2,2024-02
2024-02-24,0.0,0.0,0.0,0.02200520019240383,2024,2,2024-02
2024-02-25,10.01530916016316,10.01530916016316,10.01530916016316,10.01530916016316,2024,2,2024-02
2024-02-26,0.0,0.0,10.01530916016316,10.01530916016316,2024,2,2024-02
2024-02-27,0.021107370428996453,0.021107370428996453,10.036416530592156,10.036416530592156,2024,2,2024-02
2024-02-28,0.0,0.0,0.021107370428996453,10.036416530592156,2024,2,2024-02
2024-02-29,0.02384701901637262,0.02384701901637262,0.04495438944536907,10.060263549608528,2024,2,2024-02
2024-03-01,3.591011419389534,3.591011419389534,3.6148584384059066,3.635965808834903,2024,3,2024-03
2024-03-02,0.5757462981548676,0.5757462981548676,4.190604736560774,4.21171210698977,2024,3,2024-03
2024-03-03,0.0,0.0,4.166757717544401,4.190604736560774,2024,3,2024-03
2024-03-04,0.0569329238725227,0.0569329238725227,0.6326792220273902,4.247537660433297,2024,3,2024-03
2024-03-05,0.0,0.0,0.0569329238725227,4.223690641416924,2024,3,2024-03
2024-03-06,0.0,0.0,0.0569329238725227,0.6326792220273902,2024,3,2024-03
2024-03-07,7.104964276004558,7.104964276004558,7.104964276004558,7.16189719987708,2024,3,2024-03
2024-03-08,0.0,0.0,7.104964276004558,7.161897199877081,2024,3,2024-03
2024-03-09,0.07853773256977153,0.07853773256977153,7.1835020085743295,7.1835020085743295,2024,3,2024-03
2024-03-10,0.0,0.0,0.07853773256977153,7.1835020085743295,2024,3,2024-03
2024-03-11,0.0,0.0,0.07853773256977153,7.1835020085743295,2024,3,2024-03
2024-03-12,0.0,0.0,0.0,0.07853773256977153,2024,3,2024-03
2024-03-13,0.0,0.0,0.0,0.07853773256977153,2024,3,2024-03
2024-03-14,0.0,0.0,0.0,0.0,2024,3,2024-03
2024-03-15,5.783024473835742,5.783024473835742,5.783024473835742,5.783024473835742,2024,3,2024-03
2024-03-16,0.6047975750960235,0.6047975750960235,6.387822048931766,6.387822048931766,2024,3,2024-03
2024-03-17,1.1748579508554367,1.1748579508554367,7.5626799997872025,7.5626799997872025,2024,3,2024-03
2024-03-18,0.06601816044182347,0.06601816044182347,1.8456736863932837,7.628698160229026,2024,3,2024-03
2024-03-19,0.0,0.0,1.2408761112972602,7.628698160229026,2024,3,2024-03
2024-03-20,0.0,0.0,0.06601816044182347,1.8456736863932837,2024,3,2024-03
2024-03-21,0.0,0.0,0.0,1.2408761112972602,2024,3,2024-03
2024-03-22,0.0,0.0,0.0,0.06601816044182347,2024,3,2024-03
2024-03-23,5.627153712300924,5.627153712300924,5.627153712300924,5.627153712300924,2024,3,2024-03
2024-03-24,3.2508520065620736,3.2508520065620736,8.878005718862997,8.878005718862997,2024,3,2024-03
2024-03-25,18.4250751344131,18.4250751344131,27.303080853276096,27.303080853276096,2024,3,2024-03
2024-03-26,0.0,0.0,21.675927140975173,27.303080853276096,2024,3,2024-03
