iso3,country,hazard,n_policy_years_with_payouts,total_payout_months,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_sensitivity,mean_specificity,mean_f1
BLZ,Belize,rain,1,1,0.9166666666666666,0.9545454545454546,0.5,1.0,0.9090909090909091,0.6666666666666666
BLZ,Belize,tc,2,2,0.5416666666666666,0.75,0.5416666666666666,1.0,0.5,0.5769230769230769
HTI,Haiti,earthquake,2,2,1.0,1.0,1.0,1.0,1.0,1.0
HTI,Haiti,tc,1,1,1.0,1.0,1.0,1.0,1.0,1.0
JAM,Jamaica,rain,2,2,0.7857142857142857,0.875,0.625,1.0,0.75,0.7
JAM,Jamaica,tc,2,2,0.5416666666666666,0.75,0.5416666666666666,1.0,0.5,0.5769230769230769
TTO,Trinidad and Tobago,rain,5,6,0.8333333333333334,0.9072727272727272,0.5,1.0,0.8145454545454545,0.6238095238095238
TTO,Trinidad and Tobago,tc,2,2,0.11309523809523808,0.5,0.11309523809523808,1.0,0.0,0.20192307692307693
