hazard,index_name,n_country_policy_years,n_countries,total_payout_months,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_sensitivity,mean_specificity,mean_f1,total_tp,total_fp,total_fn,total_tn,total_rdd_treated,total_rdd_untreated_5pct,total_rdd_untreated_10pct
earthquake,monthly_max_shake_proxy,2,1,2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,22.0,2.0,0.0,0.0
rain,monthly_p95_daily_mm_pop,6,4,6,0.986111111111111,0.9924242424242425,0.9166666666666666,1.0,0.9848484848484849,0.9444444444444443,6.0,1.0,0.0,50.0,6.0,1.0,3.0
rain,monthly_max_5d_mm_pop,6,4,6,0.9722222222222222,0.9848484848484849,0.8333333333333334,1.0,0.9696969696969697,0.8888888888888888,6.0,2.0,0.0,49.0,6.0,2.0,4.0
rain,monthly_p99_daily_mm_pop,6,4,6,0.9583333333333334,0.9772727272727272,0.8055555555555555,1.0,0.9545454545454546,0.8611111111111112,6.0,3.0,0.0,48.0,6.0,4.0,5.0
rain,monthly_total_mm_pop,6,4,6,0.9444444444444443,0.9696969696969697,0.7916666666666666,1.0,0.9393939393939394,0.8444444444444444,6.0,4.0,0.0,47.0,6.0,4.0,5.0
rain,monthly_max_1d_mm_pop,6,4,6,0.9305555555555557,0.9621212121212123,0.7638888888888888,1.0,0.9242424242424243,0.8166666666666668,6.0,5.0,0.0,46.0,6.0,5.0,6.0
rain,monthly_max_3d_mm_pop,6,4,6,0.9305555555555555,0.962121212121212,0.7833333333333333,1.0,0.9242424242424243,0.8333333333333334,6.0,5.0,0.0,46.0,6.0,5.0,5.0
tc,monthly_max_wind_kt,14,10,14,0.9387755102040816,0.9642857142857143,0.9387755102040816,1.0,0.9285714285714286,0.9464285714285714,14.0,6.0,0.0,133.0,14.0,6.0,6.0
